wavelength (nm),DOMBlank1,DOMSTD10,DOM12028,DOM12052,DOM12060,DOM12085,DOM12079,DOM12125,DOM12127,DOM12256,DOMBlank2,DOM12345,DOM12346,DOM12347,DOM12504,DOM12571,DOM12582,DOM12586,DOM12599,DOM12600,DOMBlank3,DOM12601,DOM12613,DOM12616,DOM12620,DOM12621,DOM12630,DOM12666,DOM12683,DOM12684,DOMBlank4,DOM12694,DOM12698,DOM12757,DOM12932,DOM12935,DOM12937,DOM13122,DOM13164,DOM13197,DOMBlank5,DOM13233,DOM13235,DOMBlank6
859.2000122,-0.001882793,-0.00083583,-0.001996699,0.000479466,0.000459616,1.86E-05,0.000435284,0.000506366,-0.003001077,-0.000696033,-0.001806289,-0.002611328,-0.003096596,0.002594832,-0.003281355,-0.001134961,5.37E-05,0.00252247,-0.000346423,0.000842214,-0.002559709,0.002302124,0.000363436,-0.000564982,0.00287403,0.000111479,0.002402222,-0.000977286,0.002507915,0.000120309,0.002552257,-5.14E-05,0.003170722,0.004250839,0.002068158,0.004333033,0.002429632,0.001777988,0.001461363,0.00529623,0.003442019,0.004574293,0.002760198,0.004920397
858.4000244,-0.004002932,-0.003247647,1.13E-05,-0.002203509,-0.001964849,-0.005681148,-0.003522938,-0.00158139,-0.002279273,-0.003093204,-0.002169408,-0.002263926,-0.00184944,-0.00422253,0.000258781,-0.003432649,-0.001733794,-0.002333449,-0.001796493,-0.002863056,-0.001926452,0.000542261,-0.000962925,-0.005149443,-0.002628721,0.000391469,-0.001702544,0.00026189,-0.00173137,-0.001625183,0.000271499,0.001153041,0.000670628,0.000488277,0.000822295,0.000168783,-0.000163517,0.002003451,-0.001580256,0.001611644,0.001192727,0.000239952,0.002092113,0.002778278
857.5999756,-0.002849221,0.000226276,0.000279477,0.002585535,-0.00157974,0.000388152,-0.000159273,-0.000835778,-0.000103532,0.0011043,-0.000472576,0.001018771,0.000339601,-0.000504742,0.000610328,-0.000778676,-0.000156582,0.000183881,0.000638481,0.001208224,0.00228076,0.003682784,0.003911537,0.002484197,0.005514403,0.002722296,0.003910988,0.000327944,0.002364872,4.96E-05,0.004237952,0.000973108,0.004588263,0.005542849,0.002813841,0.001039192,0.003473435,0.001383217,-0.00039603,0.003490031,0.003762155,0.002691455,0.005174636,0.002876037
856.7999878,-0.001550491,-0.001936554,0.002923934,0.001826024,-0.000425719,0.001044226,0.000534045,-0.000684093,-0.001107593,-0.000812525,-0.000905375,-0.00041915,0.003349977,-0.000424633,0.001177127,0.001040593,0.005233896,0.00160559,0.002114067,0.001152132,0.00126274,0.003775289,0.003347472,0.00340544,0.000630496,-0.000145921,0.00135969,0.00251721,0.003751267,0.000882572,0.003769205,0.001950481,0.004358997,0.005748661,0.003674013,0.001364598,0.000679676,0.003751162,0.001858441,0.005450177,0.00608788,0.004294993,0.004104999,0.005121802
856,-0.001871916,-0.000196016,0.000168084,0.00102806,-0.001883154,0.000773566,-0.000302191,0.00076576,0.000230472,-0.001403958,-0.000192497,0.002049821,-0.002078373,-0.000300587,0.000621138,-0.00096587,-0.000297638,0.000721368,0.002149419,0.002878851,-0.000183752,0.003978854,0.002607748,0.004817518,0.003379142,0.003410397,0.003694689,0.001285223,0.001247838,0.005737696,0.002857979,0.001434274,0.002177489,0.003789677,0.003330934,0.003334977,0.001282029,0.00230811,0.002863399,0.003405101,0.004515018,0.003951659,0.00392303,0.007075161
855.2000122,0.000115234,0.000151408,-0.001294645,0.004475524,0.00018572,0.001208977,-0.002707962,-0.001336918,0.001246488,0.000694817,-0.000435339,-0.001908308,0.000529302,0.002387646,0.003271542,0.000490117,8.77E-05,0.001833017,0.002930684,-0.000996243,0.003548801,0.003097507,0.003810019,0.001515495,0.00363791,0.002857822,0.001439338,0.003372151,0.002751549,0.005076961,0.002916845,0.003526591,0.001539835,0.006790831,0.006044856,0.001603746,0.002287421,0.003966209,0.003401239,0.001195764,0.004804824,0.005532834,0.003777404,0.005442077
854.4000244,-0.002347198,-7.69E-05,0.000404916,-0.000927848,0.000701714,-0.001917535,0.001062131,0.000750798,0.0009935,-0.003172668,0.001917745,0.00245655,-0.000844511,0.002103012,-0.001062561,0.000458942,0.00048115,0.001530431,0.002365731,0.002323282,0.000784328,0.00162131,0.001102302,0.002131183,0.002770463,0.001288831,0.002465375,0.004094625,0.003572133,0.002672806,0.003797067,0.003757481,0.00249948,0.003753852,0.003283096,0.001906772,0.00331497,0.004767135,0.002739124,0.003804509,0.002519397,0.004666517,0.002860949,0.003858699
853.5999756,-0.006896168,-0.001370671,0.002589389,-0.001108729,-0.000268562,-0.000965198,-0.002371399,-0.000575478,0.000834433,-0.003267379,-0.002080847,0.000820765,-0.004753271,0.000317426,0.000416342,-0.001960984,4.22E-06,-5.38E-06,0.002584494,0.001822645,0.000770895,-0.000158963,0.001462844,0.000896268,0.003062261,0.002060355,0.000969086,-0.000444752,0.000137942,0.000311235,0.000657743,0.000201336,0.00157101,0.003533481,0.001242724,0.000997703,0.002176241,0.00279503,0.000487473,0.002720863,0.000689761,0.004056371,0.003240975,0.00345123
852.7999878,-0.001368142,-0.000306796,0.001798808,0.000938292,-0.000437925,-0.001432597,-0.00199675,0.001055539,0.000184114,-0.001077692,-0.000425771,-0.000790924,-0.000889566,0.002552856,-0.000498588,0.000250338,0.001902223,-0.000318539,0.00044114,0.003193643,0.002611707,0.002079056,0.003087001,0.001623129,0.004340067,0.004166283,0.001514482,0.001713766,0.003010256,0.000440285,0.004516326,0.003742833,0.001829014,0.004356852,0.004033326,0.002882004,0.004270785,0.002636474,0.003243896,0.002209673,0.004856887,0.005660481,0.004374136,0.00660082
852,3.23E-05,0.002133993,4.20E-05,0.005347173,0.000839931,0.000384007,-0.00018577,-0.000899744,0.000911417,0.004084905,0.001583117,0.000717271,-0.000486746,0.001840322,0.00341311,0.001059562,0.002270793,0.000772788,0.00433957,0.001714806,0.004638704,0.004664711,0.004186434,0.003881447,0.004108867,0.004942887,0.005063919,0.003855512,0.00380148,0.002248597,0.004219367,0.004497781,0.004768967,0.004583579,0.004019975,0.002876558,0.004056502,0.005345207,0.00572967,0.007334324,0.004667825,0.005151925,0.00379503,0.005545445
