wavelength (nm),DOMBlank1,DOMSTD37,DOM12686,DOM12685
738.4000244,-0.003136792,-0.008335183,-0.011951966,-0.013771369
737.5999756,-0.003164444,-0.007843635,-0.012248171,-0.015139924
736.7999878,-0.003041591,-0.008055303,-0.011664731,-0.015719917
736,-0.002876943,-0.007340076,-0.011632928,-0.014606216
735.2000122,-0.002796241,-0.006718294,-0.011101248,-0.013757978
734.4000244,-0.004246781,-0.008501989,-0.01231375,-0.016174853
733.5999756,-0.002954338,-0.00726244,-0.01216577,-0.014441838
732.7999878,-0.002181411,-0.007427419,-0.011857468,-0.014303399
732,-0.004242372,-0.005958528,-0.011024281,-0.013877035
731.2000122,-0.003933625,-0.006795008,-0.011212056,-0.01423311
730.4000244,-0.003901814,-0.008438828,-0.012402362,-0.014846887
729.5999756,-0.003245437,-0.007198438,-0.01092534,-0.014883008
728.7999878,-0.002794904,-0.006683271,-0.012096242,-0.015362159
728,-0.0019766,-0.005555784,-0.010081762,-0.014042078
727.2000122,-0.003874825,-0.006471647,-0.0122601,-0.014614676
726.4000244,-0.003271181,-0.006918996,-0.011456177,-0.014489511
725.5999756,-0.003882419,-0.00660669,-0.01191157,-0.014788695
724.7999878,-0.003684826,-0.008709125,-0.012106614,-0.01518382
724,-0.003828282,-0.007685986,-0.01349196,-0.014492265
723.2000122,-0.003412308,-0.007168291,-0.01126871,-0.014613324
722.4000244,-0.003628971,-0.007241667,-0.011672291,-0.014371472
721.5999756,-0.004235399,-0.006635601,-0.011799177,-0.014964496
720.7999878,-0.002312181,-0.007359572,-0.010382026,-0.013997013
720,-0.003814529,-0.006753721,-0.012350133,-0.014911572
719.2000122,-0.00210192,-0.005255693,-0.00963756,-0.014112497
718.4000244,-0.002924821,-0.006128903,-0.010765624,-0.014029495
717.5999756,-0.002904611,-0.005882075,-0.009882365,-0.013237582
716.7999878,-0.000825702,-0.004919615,-0.009796021,-0.012495887
716,-0.003182536,-0.004527025,-0.010655814,-0.012014768
715.2000122,-0.002505149,-0.005046648,-0.010554718,-0.013445634
714.4000244,-0.002729364,-0.006336715,-0.010269135,-0.01448921
713.5999756,-0.002868045,-0.005641033,-0.010328137,-0.013836116
712.7999878,-0.002546172,-0.0052382,-0.010000365,-0.013627448
712,-0.002114542,-0.004653096,-0.009811155,-0.013258522
711.2000122,-0.00264843,-0.005853012,-0.009468758,-0.01265371
710.4000244,-0.00282088,-0.005282648,-0.009361457,-0.013785764
709.5999756,-0.002760438,-0.005254312,-0.009072756,-0.013376311
708.7999878,-0.00269407,-0.005763615,-0.009863387,-0.013077257
708,-0.002146329,-0.00658767,-0.011341951,-0.013638586
707.2000122,-0.003131652,-0.006567426,-0.011159683,-0.013008981
706.4000244,-0.002174611,-0.005215846,-0.009784631,-0.01172435
705.5999756,-0.00286321,-0.005989779,-0.011314109,-0.013120408
704.7999878,-0.002890365,-0.007032964,-0.010842586,-0.013820619
704,-0.002438897,-0.006237057,-0.010748957,-0.013063593
703.2000122,-0.002097901,-0.005008317,-0.010614641,-0.012281138
702.4000244,-0.001667527,-0.005182339,-0.010000213,-0.012817106
701.5999756,-0.002572009,-0.005373065,-0.009788732,-0.01253668
700.7999878,-0.003245797,-0.006531983,-0.01035392,-0.013549322
700,-0.00262975,-0.005473892,-0.010937103,-0.013157075
699.2000122,-0.001432443,-0.005519185,-0.008784067,-0.011960176
698.4000244,-0.002438228,-0.005753499,-0.010969715,-0.013927777
697.5999756,-0.003044418,-0.005860162,-0.010796078,-0.013797299
696.7999878,-0.001969385,-0.004003343,-0.009808776,-0.013758329
696,-0.001881865,-0.005007293,-0.00981566,-0.013112773
695.2000122,-0.003195795,-0.004744361,-0.011006161,-0.014008543
694.4000244,-0.003343831,-0.00616637,-0.010437475,-0.013014408
693.5999756,-0.003115461,-0.005162848,-0.008983259,-0.012278168
692.7999878,-0.00281872,-0.004683417,-0.009509281,-0.01365173
692,-0.002464586,-0.005977422,-0.010708652,-0.012701378
691.2000122,-0.002773298,-0.006015361,-0.010024093,-0.012488844
690.4000244,-0.002876274,-0.006893314,-0.010314285,-0.013175006
689.5999756,-0.003926699,-0.006287322,-0.011056028,-0.012827913
688.7999878,-0.003038506,-0.005286279,-0.011583378,-0.013389112
688,-0.002166626,-0.005097255,-0.010094712,-0.01290617
687.2000122,-0.001474135,-0.003672608,-0.008344731,-0.011269012
686.4000244,-0.002671276,-0.005799784,-0.009593151,-0.01212192
685.5999756,-0.001967736,-0.004686593,-0.00943188,-0.011290249
684.7999878,-0.002023445,-0.004347921,-0.009798147,-0.012158873
684,-0.003859175,-0.005645122,-0.011125975,-0.012677142
683.2000122,-0.001650971,-0.004511193,-0.009649561,-0.011386888
682.4000244,-0.002944311,-0.004419879,-0.009334805,-0.011856662
681.5999756,-0.00227984,-0.004600797,-0.010149641,-0.01085829
680.7999878,-0.003503988,-0.00559836,-0.010376061,-0.011856209
680,-0.003898685,-0.007028226,-0.010294466,-0.012780159
679.2000122,-0.001673355,-0.004589424,-0.008526357,-0.010848999
678.4000244,-0.002011283,-0.004476145,-0.009513739,-0.011998955
677.5999756,-0.002302603,-0.004631173,-0.010232173,-0.012433606
676.7999878,-0.003205045,-0.005230681,-0.010147163,-0.012019603
676,-0.002892783,-0.004657245,-0.008726783,-0.012517617
675.2000122,-0.002433594,-0.004776724,-0.009000805,-0.011808096
674.4000244,-0.002575097,-0.004061048,-0.009036149,-0.011773582
673.5999756,-0.001605944,-0.003690473,-0.0082689,-0.01176431
672.7999878,-0.001993452,-0.005077811,-0.00920598,-0.01159719
672,-0.001808764,-0.004269902,-0.00851661,-0.011721982
671.2000122,-0.001966035,-0.003964509,-0.009180586,-0.010559872
670.4000244,-0.001884958,-0.00449741,-0.009298016,-0.010987181
669.5999756,-0.003191529,-0.004165462,-0.010751533,-0.011866888
668.7999878,-0.002470609,-0.004637935,-0.010346741,-0.011749848
668,-0.000947583,-0.004072383,-0.008826886,-0.010765069
667.2000122,-0.002332574,-0.003622142,-0.008958967,-0.011899077
666.4000244,-0.001983764,-0.004406964,-0.00896556,-0.012179966
665.5999756,-0.001685474,-0.004553205,-0.008778436,-0.011689679
664.7999878,-0.002632169,-0.004088128,-0.009990904,-0.011996236
664,-0.002258312,-0.004425516,-0.009715785,-0.011120878
663.2000122,-0.001901917,-0.004046892,-0.010155153,-0.011295798
662.4000244,-0.002769492,-0.003614595,-0.010281574,-0.010930237
661.5999756,-0.002221434,-0.00361249,-0.009707786,-0.010734058
