wavelength (nm),DOMBlank1,DOMSTD15,DOM12053,DOM12081,DOM12086,DOM12096,DOM12114,DOM12147,DOM12201,DOMBlank2,DOM12267,DOM12310,DOM12316,DOM12336,DOM12343,DOM12979,DOM13057,DOM11873,DOM11903,DOMBlank3,DOM11908,DOM11914,DOM11916,DOM11946,DOM11992,DOM11997,DOM11999,DOM12006,DOM11962,DOM11928,DOMBlank4
649.5999756,-0.004055252,-0.003467884,-0.006423698,-0.011153174,-0.009455334,-0.012479537,-0.012190437,-0.013324199,-0.013880796,-0.015196769,-0.017063938,-0.01603462,-0.016492568,-0.01777661,-0.016796552,-0.016740814,-0.016884055,-0.017194683,-0.018563472,-0.018084217,-0.016805617,-0.017461028,-0.017212149,-0.016727364,-0.017834701,-0.018023526,-0.017085789,-0.019099824,-0.017729944,-0.016455583,-0.019827714
648.7999878,-0.003853427,-0.003586869,-0.00691283,-0.010803349,-0.008954098,-0.012627611,-0.012695244,-0.013556297,-0.014059821,-0.014839931,-0.016591793,-0.015952384,-0.017413531,-0.017009029,-0.016661301,-0.017254742,-0.016819015,-0.016585615,-0.018596558,-0.017741175,-0.017216926,-0.017721146,-0.016994791,-0.016429711,-0.017723333,-0.018159246,-0.016907012,-0.019264678,-0.017587278,-0.016162183,-0.019062366
648,-0.004653915,-0.00338272,-0.00678303,-0.010891008,-0.008872033,-0.012990641,-0.012531399,-0.013176513,-0.013919154,-0.014744459,-0.016489428,-0.016220491,-0.017003056,-0.016640725,-0.016524017,-0.017399156,-0.016810199,-0.016917517,-0.018660886,-0.017853333,-0.017057516,-0.017566994,-0.016495159,-0.01627844,-0.017999884,-0.018243447,-0.017215334,-0.018917413,-0.01719722,-0.016042354,-0.019348118
647.2000122,-0.004465384,-0.003060869,-0.00659328,-0.010692084,-0.00897981,-0.012705602,-0.011684135,-0.013210263,-0.013528897,-0.014857693,-0.016393768,-0.016057871,-0.01678679,-0.016546594,-0.016555216,-0.01665901,-0.016670968,-0.016275598,-0.017852239,-0.017904209,-0.016602406,-0.017484501,-0.016343262,-0.016525861,-0.017709367,-0.017701812,-0.016608037,-0.0189074,-0.017099924,-0.015304787,-0.019642096
646.4000244,-0.004164744,-0.002930529,-0.006377173,-0.01027141,-0.008878831,-0.012565702,-0.011758011,-0.013079166,-0.013145825,-0.015092824,-0.016408823,-0.01605368,-0.016243931,-0.016924191,-0.015919747,-0.016836097,-0.01665074,-0.016811045,-0.018106811,-0.018076271,-0.01621655,-0.016986128,-0.016426571,-0.01613819,-0.017585738,-0.018053077,-0.016825689,-0.018658655,-0.01695531,-0.015734695,-0.018594028
645.5999756,-0.004775444,-0.002941123,-0.006361357,-0.011186223,-0.00925935,-0.012562936,-0.012139994,-0.013404022,-0.013467217,-0.015217815,-0.016730202,-0.016320776,-0.016311402,-0.017111024,-0.016621292,-0.016735284,-0.016751921,-0.016746741,-0.01825293,-0.017833756,-0.016724922,-0.016795805,-0.016876884,-0.016388334,-0.017756086,-0.018296214,-0.017152483,-0.018787829,-0.017129738,-0.016056623,-0.018989623
644.7999878,-0.00419028,-0.002838625,-0.006182703,-0.010467951,-0.008942586,-0.012114519,-0.012082144,-0.013294375,-0.013316869,-0.014522107,-0.016798146,-0.015636822,-0.016011517,-0.016678141,-0.016093044,-0.016259141,-0.016566329,-0.016287366,-0.018294675,-0.017448494,-0.016112151,-0.016787885,-0.01663918,-0.015666137,-0.017540293,-0.017627299,-0.016553221,-0.018333936,-0.017222399,-0.015606208,-0.019141687
644,-0.003899916,-0.003457714,-0.006370643,-0.010299067,-0.009018046,-0.012314454,-0.011931919,-0.013037669,-0.013047768,-0.014956842,-0.016267519,-0.01577344,-0.015812928,-0.016592242,-0.016262632,-0.01660121,-0.016397707,-0.015840385,-0.017920604,-0.01740423,-0.016386988,-0.016975425,-0.016106464,-0.015145474,-0.01784737,-0.017695151,-0.015952883,-0.018264495,-0.017100522,-0.015737692,-0.018671747
643.2000122,-0.004189203,-0.003088834,-0.005938305,-0.011013883,-0.008624983,-0.012849628,-0.012136419,-0.012756632,-0.013232058,-0.014934233,-0.015644064,-0.015434564,-0.016013913,-0.016359767,-0.015899483,-0.016651437,-0.016095987,-0.015213216,-0.018153487,-0.01746814,-0.016575348,-0.016644761,-0.016431058,-0.01558563,-0.017459337,-0.017522193,-0.016649643,-0.018211873,-0.016759045,-0.015390343,-0.018875033
642.4000244,-0.004367398,-0.00315139,-0.006439155,-0.010893887,-0.009105559,-0.012502577,-0.012396626,-0.013915394,-0.013398851,-0.015418775,-0.016672412,-0.015914805,-0.016629862,-0.016905069,-0.016831566,-0.016766068,-0.016732445,-0.016227823,-0.018613819,-0.018213313,-0.01633713,-0.017076779,-0.016352786,-0.015859501,-0.017522989,-0.017801706,-0.016902829,-0.018424604,-0.017548347,-0.015509804,-0.019119196
641.5999756,-0.004136284,-0.00277227,-0.006044975,-0.010568916,-0.008802535,-0.011987473,-0.011776101,-0.013153308,-0.012994963,-0.014785242,-0.016293401,-0.015984273,-0.015900431,-0.016859854,-0.016618352,-0.016223134,-0.016420091,-0.016358769,-0.018255014,-0.01777353,-0.01602963,-0.01681249,-0.01641017,-0.015602462,-0.017110476,-0.017386075,-0.016882014,-0.018034751,-0.017450981,-0.015426969,-0.01845259
