wavelength (nm),DOMBlank1,DOMSTD21,DOM12282,DOM12486,DOM12602,DOM12622,DOMBlank2,DOM12629,DOM12636,DOM12682,DOM12785,DOM12812,DOM12815,DOM12847,DOM12941,DOM13373,DOMBlank3,DOM13374,DOM12196,DOM12220,DOM12227,DOM12228,DOM12772,DOM12827,DOM12996,DOM13171,DOM13241,DOMBlank4
871.2000122,-0.005215897,-0.005575053,-0.009927707,-0.012883604,-0.016707486,-0.01720548,-0.015096874,-0.017740032,-0.021202592,-0.018313438,-0.010804158,-0.021758644,-0.019019704,-0.014379887,-0.020261571,-0.020592852,-0.015896589,-0.018390413,-0.018784162,-0.020416351,-0.018122701,-0.019009942,-0.015399587,-0.016917966,-0.015001908,-0.019170221,-0.019931324,-0.028317537
870.4000244,-0.006689389,-0.008869852,-0.016832113,-0.021489551,-0.012992802,-0.018974805,-0.024234453,-0.019812925,-0.02189965,-0.020841923,-0.022578832,-0.020400051,-0.021815564,-0.02802467,-0.021012528,-0.027150713,-0.024574608,-0.017252104,-0.023105096,-0.022321116,-0.025483686,-0.020807626,-0.025447361,-0.022573179,-0.019464169,-0.024756322,-0.025228176,-0.022766344
869.5999756,-0.004283026,-0.012165115,-0.020487474,-0.018943632,-0.01888098,-0.018492728,-0.022004489,-0.018299291,-0.022716526,-0.025161931,-0.025134863,-0.019139457,-0.026288737,-0.02419156,-0.021724321,-0.028430101,-0.024091754,-0.019587018,-0.01991179,-0.025983429,-0.019380303,-0.020646174,-0.021041285,-0.021999517,-0.024090089,-0.018453483,-0.024859641,-0.024836173
868.7999878,-0.002757042,-0.008507726,-0.016328055,-0.017060552,-0.022974351,-0.020613143,-0.019903434,-0.021330126,-0.022410955,-0.017221354,-0.022146301,-0.016824892,-0.020491228,-0.01669508,-0.022647733,-0.026002347,-0.02001904,-0.026692092,-0.017172538,-0.018916423,-0.023998441,-0.019115578,-0.019373966,-0.021408983,-0.023789944,-0.023847872,-0.021397254,-0.018275069
868,-0.006742405,-0.011839987,-0.019914066,-0.025550468,-0.020273579,-0.023934359,-0.027942391,-0.024883255,-0.024887899,-0.023934457,-0.029504551,-0.029591128,-0.028942691,-0.028492408,-0.030717852,-0.025598157,-0.025069434,-0.026169769,-0.027374325,-0.027739568,-0.027562305,-0.020795535,-0.02339193,-0.024568785,-0.01977464,-0.023053255,-0.028599303,-0.02731706
867.2000122,-0.011707367,-0.014400472,-0.020265672,-0.023790091,-0.024689857,-0.023103181,-0.027251763,-0.023258768,-0.02807199,-0.025137061,-0.024707757,-0.023105882,-0.02908056,-0.026510553,-0.030149108,-0.031582788,-0.027389636,-0.0288228,-0.034449898,-0.027443198,-0.034577474,-0.02898749,-0.029626044,-0.023128707,-0.02519442,-0.028182141,-0.031464826,-0.030306922
866.4000244,-0.009762815,-0.015108825,-0.024387384,-0.025790323,-0.016872501,-0.024604352,-0.024121631,-0.029509485,-0.022335328,-0.025895739,-0.022843271,-0.027940158,-0.024341375,-0.027893649,-0.030046603,-0.026375763,-0.024895331,-0.024154149,-0.03060255,-0.02965148,-0.023926521,-0.025956264,-0.026495552,-0.026391743,-0.026400512,-0.023952635,-0.028139345,-0.022840619
865.5999756,-0.006257521,-0.00701004,-0.018403662,-0.019336037,-0.014498875,-0.018840183,-0.022991341,-0.02023128,-0.023655973,-0.020011574,-0.027266983,-0.016980005,-0.02577598,-0.022763299,-0.024295799,-0.026833938,-0.022072744,-0.018193306,-0.024079217,-0.032223258,-0.026670815,-0.023323834,-0.021813398,-0.021392031,-0.022384895,-0.021903144,-0.029979784,-0.020017011
864.7999878,-0.007719453,-0.007957005,-0.013744535,-0.021130452,-0.02156646,-0.019786511,-0.017034568,-0.011183296,-0.017781282,-0.01989112,-0.022959227,-0.023722989,-0.02192628,-0.01950966,-0.023969734,-0.021622123,-0.02133397,-0.022470837,-0.018081931,-0.019685837,-0.021272453,-0.02110476,-0.015057569,-0.02203756,-0.022251522,-0.01771041,-0.022516653,-0.026644863
864,-0.011976846,-0.013881749,-0.019988978,-0.026903678,-0.023315148,-0.029491635,-0.027754916,-0.029693643,-0.0280733,-0.027657188,-0.028032532,-0.023324618,-0.022402596,-0.028177047,-0.029618161,-0.02608631,-0.031734645,-0.022800094,-0.027810328,-0.031138945,-0.028851867,-0.025111457,-0.023316473,-0.027453212,-0.025737874,-0.027409954,-0.026539288,-0.025305158
863.2000122,-0.007115174,-0.009587074,-0.019025104,-0.021897681,-0.019186419,-0.023765193,-0.019165168,-0.021058992,-0.023239728,-0.018776426,-0.020728659,-0.023837239,-0.023640137,-0.02632007,-0.015504758,-0.027057666,-0.025199892,-0.019165713,-0.025905885,-0.022886839,-0.024053354,-0.023527896,-0.023344243,-0.024977503,-0.023783965,-0.025337294,-0.023929901,-0.018175185
862.4000244,-0.009299181,-0.015599765,-0.017284643,-0.022823624,-0.021985147,-0.023918632,-0.022653975,-0.019698156,-0.025337148,-0.023746224,-0.02296949,-0.030280367,-0.026477821,-0.026966399,-0.027513374,-0.026645692,-0.028356679,-0.026357442,-0.026919687,-0.026773585,-0.025691615,-0.025630029,-0.023513574,-0.02719599,-0.024996223,-0.026067736,-0.026389062,-0.028146382
861.5999756,-0.010379953,-0.012301923,-0.01687051,-0.022483472,-0.0172532,-0.020249762,-0.020790452,-0.023187412,-0.026230987,-0.024623871,-0.024608608,-0.021876464,-0.025993718,-0.023409639,-0.026198138,-0.028791502,-0.022493944,-0.026268026,-0.025013134,-0.025095528,-0.030104959,-0.022510313,-0.023331242,-0.023633616,-0.023620918,-0.026026338,-0.024348227,-0.022129033
860.7999878,-0.006765649,-0.014784342,-0.017247129,-0.021671625,-0.021325689,-0.023207534,-0.025407664,-0.019893197,-0.021596115,-0.026057106,-0.025232134,-0.023865663,-0.021863861,-0.025959581,-0.023566538,-0.024631258,-0.02078305,-0.021505466,-0.026273679,-0.027480718,-0.020911939,-0.024481105,-0.023224907,-0.024750404,-0.026741263,-0.027794594,-0.020037184,-0.022444535
