wavelength (nm),DOMBlank1,DOMSTD28,DOM12273,DOM12702,DOM12704,DOM12710,DOM12841,DOM13050,DOMBlank2,DOM13070,DOM13089,DOM13094,DOM13131,DOM13144,DOM13437,DOM13494,DOMBlank3
832.7999878,-0.004166847,-0.008868889,-0.012044933,-0.014707224,-0.018938676,-0.017286533,-0.027809648,-0.028387377,-0.028156135,-0.025871594,-0.033293556,-0.031641949,-0.031744268,-0.034645021,-0.031819575,-0.03136066,-0.032389499
832,-0.003667064,-0.008545749,-0.012011344,-0.015355163,-0.016201887,-0.021160582,-0.024330361,-0.027912486,-0.025816033,-0.028173652,-0.029141903,-0.030527372,-0.031435743,-0.032562595,-0.03329581,-0.034470174,-0.031818852
831.2000122,-0.005406659,-0.006285894,-0.010486043,-0.01352689,-0.01614303,-0.021481322,-0.025605137,-0.029117696,-0.026190972,-0.028186606,-0.028834911,-0.030082544,-0.03135531,-0.033620607,-0.031745665,-0.029820012,-0.034362037
830.4000244,-0.006456957,-0.006180048,-0.013382385,-0.013371693,-0.016150212,-0.019510997,-0.024960395,-0.026488585,-0.027019138,-0.028532939,-0.030421577,-0.03119619,-0.033320598,-0.030810406,-0.03294342,-0.029008362,-0.031288113
829.5999756,-0.004237091,-0.008389929,-0.011638925,-0.013365719,-0.014684152,-0.018523438,-0.024515847,-0.026957737,-0.026467398,-0.026090601,-0.031283297,-0.030986976,-0.032326788,-0.02894274,-0.030495809,-0.031493429,-0.031417202
828.7999878,-0.004296867,-0.004141002,-0.010269439,-0.013035459,-0.014988953,-0.017656777,-0.021956306,-0.026966058,-0.027664233,-0.022284919,-0.027214274,-0.028604586,-0.028452309,-0.027598163,-0.02657976,-0.029321862,-0.028231725
828,-0.004814615,-0.007975508,-0.014179347,-0.017121576,-0.018042002,-0.021850174,-0.026530571,-0.028104456,-0.029315619,-0.028606137,-0.028577199,-0.030475492,-0.033769164,-0.030184606,-0.030496292,-0.03199251,-0.033543743
827.2000122,-0.005798558,-0.009758006,-0.012710378,-0.016607489,-0.018451646,-0.022531597,-0.027096629,-0.028423505,-0.02897146,-0.028392276,-0.032829426,-0.031823423,-0.032833029,-0.03326349,-0.031880338,-0.032829668,-0.035786808
826.4000244,-0.001741425,-0.005322131,-0.007851312,-0.010918575,-0.012542364,-0.017544867,-0.022070382,-0.024533117,-0.024883403,-0.021399077,-0.025805447,-0.026870294,-0.026604984,-0.025601817,-0.027493889,-0.026682451,-0.027829072
825.5999756,-0.004336747,-0.008417502,-0.010966737,-0.01294195,-0.016869415,-0.016753417,-0.026256818,-0.025048615,-0.027521685,-0.028378211,-0.029269934,-0.029595045,-0.030419743,-0.02857681,-0.032343175,-0.032586224,-0.030807659
