wavelength (nm),DOMBlank1,DOMSTD16,DOM12101,DOM12117,DOM12126,DOM12146,DOM12172,DOM12206,DOM12210,DOMBlank2,DOM12253,DOM12259,DOM12260,DOM12262,DOM12290,DOM12291,DOM12306,DOM12207,DOM12470,DOMBlank3,DOM12534,DOM13288,DOM13296,DOM13315,DOM13432,DOMBlank4
871.2000122,-0.007902917,-0.010683496,-0.014844084,-0.016061014,-0.018913349,-0.024669215,-0.025063472,-0.025866669,-0.032913953,-0.028242107,-0.026128432,-0.02604199,-0.028794846,-0.032001555,-0.030657502,-0.033610877,-0.031838145,-0.026897594,-0.029592531,-0.033884201,-0.030767532,-0.03298771,-0.034420531,-0.028593874,-0.036051858,-0.035121877
870.4000244,-0.002768308,-0.006994859,-0.019459467,-0.02150118,-0.020451371,-0.021117533,-0.021586213,-0.025548369,-0.024330996,-0.030257624,-0.028860684,-0.029303133,-0.025719039,-0.02807131,-0.029429231,-0.02789627,-0.02555164,-0.032144561,-0.031340044,-0.032972403,-0.031156534,-0.03226652,-0.030775249,-0.03513195,-0.032773644,-0.033078969
869.5999756,-0.00905638,-0.007971034,-0.01245373,-0.017212497,-0.015672129,-0.020865411,-0.025359955,-0.028370257,-0.028845182,-0.02874833,-0.026671497,-0.02842045,-0.029104479,-0.028967876,-0.0289037,-0.027088651,-0.032891922,-0.029634312,-0.031836271,-0.034399632,-0.033933952,-0.031105934,-0.028306285,-0.033584237,-0.029849496,-0.031599734
868.7999878,-0.007851872,-0.00720964,-0.011634944,-0.017119983,-0.017577982,-0.022060344,-0.021101603,-0.021538969,-0.026153244,-0.023253862,-0.027784152,-0.025214255,-0.024892055,-0.027828051,-0.025028579,-0.028737186,-0.029252995,-0.029931173,-0.02950847,-0.029373832,-0.028340383,-0.029056739,-0.028947486,-0.032835141,-0.027747728,-0.032338995
868,-0.006559165,-0.009745603,-0.015904674,-0.017872462,-0.02186263,-0.022780001,-0.022564234,-0.024297513,-0.028043743,-0.027436007,-0.026842991,-0.035147995,-0.027428668,-0.02651445,-0.030640086,-0.02868068,-0.024088914,-0.028964534,-0.029759781,-0.034338403,-0.026004007,-0.033022113,-0.026291076,-0.028763592,-0.031590536,-0.033673979
867.2000122,-0.005277891,-0.002828595,-0.016807757,-0.015684014,-0.015463392,-0.016465252,-0.022953972,-0.020619858,-0.023528729,-0.024439801,-0.024133923,-0.023270104,-0.024016175,-0.025027258,-0.027578438,-0.026452539,-0.026755184,-0.02870273,-0.029734593,-0.027948072,-0.030119497,-0.026407577,-0.029506825,-0.030269502,-0.027098866,-0.028370453
866.4000244,-0.008409987,-0.012478079,-0.016991755,-0.015452701,-0.022469413,-0.021848649,-0.022159781,-0.023332518,-0.025600452,-0.028983809,-0.028669534,-0.027924089,-0.029223422,-0.029032962,-0.030940646,-0.033755992,-0.033197597,-0.031979479,-0.03203113,-0.032866724,-0.030262597,-0.030534659,-0.032173891,-0.029508034,-0.029469868,-0.032559328
865.5999756,-0.001952996,-0.007810279,-0.013646262,-0.016018603,-0.023856057,-0.024143424,-0.024301479,-0.028338054,-0.026739314,-0.029795069,-0.029461209,-0.027998993,-0.02939396,-0.028403187,-0.031634681,-0.025960166,-0.028433446,-0.02945579,-0.031234447,-0.032015163,-0.031348281,-0.035101056,-0.032525897,-0.030941708,-0.031165255,-0.033185989
864.7999878,-0.005968179,-0.013456877,-0.018411504,-0.019412931,-0.021996418,-0.022581486,-0.022099167,-0.028102225,-0.026716093,-0.031476963,-0.03164142,-0.033421472,-0.032024447,-0.029756106,-0.032736003,-0.033076812,-0.037764702,-0.031877644,-0.036181346,-0.033561811,-0.033345725,-0.033935152,-0.03512245,-0.034267314,-0.035828143,-0.034429379
864,-0.003596778,-0.007805296,-0.009509888,-0.012877623,-0.021143964,-0.022159386,-0.02344167,-0.021439636,-0.02227946,-0.024282189,-0.026310228,-0.028599884,-0.030691996,-0.026379807,-0.029611196,-0.026219096,-0.028498711,-0.032992654,-0.027546514,-0.031443782,-0.028495511,-0.029165674,-0.031334937,-0.027271116,-0.029033011,-0.033500608
863.2000122,-0.009305719,-0.013865352,-0.017378714,-0.015264252,-0.021272747,-0.023315689,-0.027841453,-0.025010984,-0.026343215,-0.026887666,-0.028340915,-0.03243899,-0.029443163,-0.030149397,-0.031536762,-0.030764783,-0.032738693,-0.03047882,-0.034809336,-0.029990703,-0.028989524,-0.031230785,-0.033926435,-0.033668038,-0.033432592,-0.035634693
862.4000244,-0.009406042,-0.010855665,-0.017201997,-0.017167063,-0.020185916,-0.026849026,-0.027167346,-0.027770797,-0.02860987,-0.030571669,-0.028640017,-0.034322094,-0.030260086,-0.033090722,-0.034150895,-0.036705285,-0.035781328,-0.036350843,-0.033493899,-0.038337406,-0.03361864,-0.035932582,-0.038001228,-0.031809229,-0.035665262,-0.033511776
861.5999756,-0.002594345,-0.006489601,-0.01092948,-0.012885614,-0.01554587,-0.019834293,-0.020403262,-0.022854913,-0.025462985,-0.022560105,-0.025795396,-0.02343191,-0.026831117,-0.025586735,-0.023971006,-0.027403343,-0.027629789,-0.025987232,-0.025852326,-0.027919332,-0.029315377,-0.027745202,-0.026852043,-0.026533883,-0.026811501,-0.028840918
860.7999878,-0.007283213,-0.007909424,-0.01193887,-0.017073693,-0.020462681,-0.022078058,-0.025721919,-0.02586296,-0.031574506,-0.024288064,-0.029935038,-0.027008824,-0.028736943,-0.027619394,-0.029839152,-0.029470351,-0.030697783,-0.028988458,-0.032663979,-0.032321263,-0.032248061,-0.030932065,-0.030965621,-0.032942411,-0.032874163,-0.03092088
860,-0.008993706,-0.009066217,-0.01587218,-0.018041804,-0.018420286,-0.02188823,-0.023996629,-0.026614431,-0.028789515,-0.028527072,-0.028992429,-0.028369386,-0.028728995,-0.027180476,-0.03108892,-0.030881101,-0.03246114,-0.031641129,-0.03187466,-0.030720262,-0.034024823,-0.032326933,-0.032640256,-0.033135623,-0.030916154,-0.035769407
859.2000122,-0.008262449,-0.013223421,-0.014113499,-0.015940657,-0.018578799,-0.023389526,-0.027019575,-0.024707414,-0.026704311,-0.027712807,-0.030699907,-0.032206915,-0.03224609,-0.031309746,-0.028514128,-0.029799566,-0.031936716,-0.0349776,-0.034507234,-0.031975389,-0.032561202,-0.032937132,-0.033251982,-0.034762025,-0.033384319,-0.036326177
858.4000244,-0.006774008,-0.011724954,-0.015383148,-0.015568048,-0.021921605,-0.02286901,-0.026504757,-0.024421988,-0.028106155,-0.028882047,-0.030667633,-0.03207292,-0.027637612,-0.031499736,-0.030738303,-0.029089276,-0.031547837,-0.03352093,-0.032341398,-0.033963926,-0.030984132,-0.033437531,-0.031478744,-0.033649258,-0.033664159,-0.032606062
857.5999756,-0.007105242,-0.010067903,-0.01408834,-0.016553372,-0.020275703,-0.020278025,-0.027445436,-0.023994718,-0.029180631,-0.026379222,-0.030032447,-0.029758476,-0.027762832,-0.031638339,-0.028272426,-0.031015754,-0.033708952,-0.034213725,-0.030350035,-0.032932669,-0.030479399,-0.033344191,-0.031997945,-0.031616531,-0.034073122,-0.032798801
856.7999878,-0.006202557,-0.008916517,-0.010844606,-0.01792592,-0.0160437,-0.021495562,-0.022107776,-0.023763625,-0.023917161,-0.024761651,-0.026356224,-0.027348854,-0.028606428,-0.029198591,-0.02950131,-0.027386526,-0.030877098,-0.033386908,-0.029023182,-0.032760344,-0.031095861,-0.030985048,-0.031633187,-0.031674534,-0.031679682,-0.030104863
856,-0.003229096,-0.004195202,-0.01001615,-0.011255442,-0.013442874,-0.020842269,-0.015280547,-0.018547351,-0.0243215,-0.02416213,-0.025975868,-0.026306329,-0.02395827,-0.027897874,-0.02838539,-0.029266594,-0.027055671,-0.027802266,-0.028315354,-0.026905332,-0.027509682,-0.026236592,-0.027618131,-0.026241126,-0.028765725,-0.030479642
855.2000122,-0.005501191,-0.01145305,-0.015440959,-0.018314231,-0.020314489,-0.022111172,-0.022623407,-0.026520781,-0.028770134,-0.027632365,-0.029588757,-0.031177737,-0.029963596,-0.029464932,-0.030991266,-0.029467255,-0.032570232,-0.031268027,-0.031767558,-0.031888083,-0.031420283,-0.032127447,-0.031975582,-0.032093309,-0.033778794,-0.03597714
854.4000244,-0.01003502,-0.012692378,-0.014560809,-0.020600801,-0.024371281,-0.025934951,-0.028944386,-0.028591353,-0.029497875,-0.029156378,-0.03231439,-0.033009302,-0.031681512,-0.030183688,-0.033287946,-0.031014549,-0.034791511,-0.033847231,-0.036382217,-0.03645625,-0.035989009,-0.033003163,-0.035430897,-0.036797907,-0.035001338,-0.036786918
853.5999756,0.000840813,-0.007948363,-0.009937372,-0.015007859,-0.014400121,-0.018541744,-0.022289887,-0.021593306,-0.023665925,-0.0227801,-0.024666917,-0.025419237,-0.025260173,-0.02747722,-0.027739909,-0.029093198,-0.026944844,-0.028753757,-0.030505944,-0.030008242,-0.028960466,-0.030751904,-0.029196411,-0.02909833,-0.028312832,-0.029314652
852.7999878,-0.006737766,-0.010397494,-0.017111173,-0.015987167,-0.01951753,-0.023408903,-0.023422835,-0.024596132,-0.027496269,-0.028204121,-0.030316578,-0.030466659,-0.030454014,-0.02945221,-0.030079404,-0.031939026,-0.031691428,-0.03115692,-0.033590179,-0.032640591,-0.033150878,-0.032682128,-0.034292433,-0.032009728,-0.033508662,-0.035900123
852,-0.008121873,-0.010325306,-0.016384745,-0.021340329,-0.022331836,-0.021343138,-0.024068441,-0.028106106,-0.027667826,-0.028103873,-0.030751133,-0.031146126,-0.03287277,-0.029641567,-0.030760489,-0.030906945,-0.032330491,-0.032830149,-0.034322333,-0.034045309,-0.032216579,-0.0311694,-0.031061931,-0.03499379,-0.033736784,-0.034600466
851.2000122,-0.005900563,-0.010547138,-0.012466508,-0.016505178,-0.017859098,-0.018544374,-0.020913815,-0.024556408,-0.024552591,-0.025649209,-0.026124043,-0.028056556,-0.02814546,-0.025778126,-0.027275782,-0.027268393,-0.029359799,-0.029795263,-0.027652137,-0.029954463,-0.031567622,-0.031399526,-0.026945671,-0.031055473,-0.030838715,-0.032393634
850.4000244,-0.004974128,-0.010775321,-0.015883861,-0.015941057,-0.020052014,-0.02113637,-0.024058694,-0.024907455,-0.026000496,-0.028131194,-0.029737301,-0.03021165,-0.029292632,-0.029523706,-0.029860226,-0.031255502,-0.029604137,-0.029791348,-0.031976834,-0.033774771,-0.033898808,-0.031977553,-0.032027233,-0.032710891,-0.034405325,-0.033491071
