wavelength (nm),DOMBlank1,DOMSTD9,DOM12030,DOM12040,DOM12051,DOM12054,DOM12087,DOM12118,DOM12292,DOMBlank2,DOM12578,DOM12612,DOM12631,DOM12687,DOM12691,DOM12692,DOM11828,DOM12017,DOM12080,DOMBlank3,DOM12173,DOM12249,DOM12538,DOM12544,DOM12561,DOM12572,DOM12575,DOM12587,DOM12646,DOM12650,DOM12664,DOMBlank4
884,-0.006820848,0.00157948,-0.00283914,-2.01E-05,-0.002515547,-0.007392555,-0.004860181,-0.005003557,0.005021808,-0.00510713,-0.001964489,-0.004201304,-0.003405476,-0.002753338,0.000642836,-0.000130756,-0.002320163,0.001376803,-0.007219569,0.002626629,-0.000433943,-0.003852606,-0.002344005,-0.000747409,-0.00411131,0.002838775,0.001744668,-0.000546833,0.011070968,-0.001018918,-0.000496571,0.000567817
883.2000122,0.001720991,0.008338062,-0.000627437,0.00053236,0.002116668,0.00229057,0.008600382,-0.004861205,-0.003225858,0.000922883,0.000365068,0.002371249,0.003551254,0.004436817,0.002753112,0.004865787,0.002202258,0.00293673,0.004199921,-0.005335734,0.005593585,0.002606707,0.002297753,0.006587232,0.005542614,0.005203217,0.004735259,0.00968373,0.007532294,0.005735834,0.010182069,0.00221727
882.4000244,-0.002913868,-0.003885447,0.006137524,-0.003500753,-0.001841089,-0.002100889,-0.010077716,-0.000731129,-0.008257573,-0.00316722,0.003253598,-0.000317763,0.003305841,0.004287411,-0.014153641,-0.000556709,0.004031706,-0.005067423,-0.001235848,-0.00619582,0.006026797,0.003776516,0.001728944,-0.0054811,-0.00206745,-0.002981796,-0.002665153,-0.007589079,-0.002335406,0.00651746,0.001435261,0.001572335
881.5999756,0.008774206,0.006413572,0.003872541,0.012207864,0.006027794,0.005338656,0.010264492,0.00940483,0.002284819,0.014394338,0.008162355,0.007151759,0.010766496,0.007930009,0.009561405,0.010340674,0.011003365,0.013148707,0.009097902,0.006233678,0.009606948,0.00833318,0.014275094,0.014449731,0.005013899,0.009218881,0.01937855,0.012677898,0.019959096,0.015821561,0.012085598,0.018207986
880.7999878,0.00392431,0.006786413,0.002744359,0.005404884,0.008888543,0.00075142,0.001868242,0.004886416,0.00722545,0.005703362,0.001424483,0.00279826,0.00623956,0.003906548,0.011427074,0.01436627,0.000349679,0.004733794,0.005154858,0.010365408,0.011686162,0.01073147,0.008824767,0.00346712,0.011964031,0.010073909,0.005953362,0.007446939,0.008009632,0.010610415,0.011869765,0.011521297
880,0.009363618,0.002392956,0.00410398,0.005731008,0.003136981,0.011132339,0.006892153,0.00137096,0.004664999,0.002650433,0.002619337,0.007366707,0.005692557,-0.00019436,0.007549968,0.001902119,0.00841462,0.007577152,0.002713413,0.007550469,0.001773907,0.002768899,0.005482184,-0.000418737,0.005044251,0.00407022,0.00521498,0.010907237,0.010310984,0.012295093,0.015212602,0.004782446
879.2000122,-0.005386155,-0.007037752,-0.003439583,-0.001895473,-0.005292519,0.001231353,-0.007050589,-0.005460446,-0.005048336,-0.005713237,-0.003369466,-0.006156876,-0.000640361,-0.006330796,-0.004766176,-0.004809853,-0.004367449,-0.006880677,-0.004890437,-0.003448674,-0.001984897,0.003408884,-0.007390265,0.000336182,-0.002888103,0.000445467,-0.005980026,-0.003205816,0.006609125,-0.008300392,-0.005053607,-0.001877638
878.4000244,0.001410978,0.001900377,-0.007827567,0.002082541,0.00450759,-0.00407864,-0.003505632,0.004075289,0.00324387,0.003320917,0.002900688,0.001533731,-0.000831489,0.004726022,0.005918329,0.006569046,0.001800368,0.001480298,0.000926774,0.000435439,0.008704214,0.008356586,-0.001381406,0.001933579,0.002859724,0.004945008,-0.002048179,0.001404096,0.004127134,0.009047098,8.99E-05,0.001600368
877.5999756,0.001319521,0.002490003,0.003015964,0.004019949,0.001473259,-0.00084327,-0.002605821,-0.002222979,0.004622953,-0.000149388,0.001985871,0.006617089,0.000806242,-0.004436534,0.003294703,0.001953263,0.001001777,-0.001375832,0.007263695,0.001105806,-0.000828285,0.001194856,-0.000760536,0.006065226,0.004363964,0.002917523,0.002912806,0.007715625,0.004584234,0.003315466,0.001553032,0.000215554
876.7999878,-0.001391934,-0.001788656,-0.003641703,-0.00182686,0.00193982,0.000427484,0.004810478,0.001631521,0.002928625,-0.002556775,0.003290165,-0.004584865,0.003589307,-7.79E-05,0.004427717,0.002435932,-0.001175959,0.00164589,0.002704921,0.001284392,0.002123874,0.001019757,0.004077353,0.007733464,0.007514542,0.008552621,0.003848983,0.00720092,0.00878884,0.001201475,0.005280036,0.011527676
876,-0.005216,-0.003208129,-0.003652433,-0.002394363,-0.001333924,-0.006519539,0.001653608,-0.004215814,-0.002664638,-0.004488494,-0.006484908,-0.007422024,-0.001891453,-0.000325679,-0.004009857,-0.001121742,-0.000257179,-0.002527231,-0.00057129,-0.002268046,-0.003635234,0.00474981,0.000118004,-0.002958246,-0.004391743,-0.001121949,-0.003724403,-0.001941038,-0.001978249,0.001338423,0.004499194,-0.001959335
875.2000122,-0.003781992,-0.006369113,-0.004979656,0.002395611,0.000489469,-0.002537423,-0.008347779,-0.006461241,-0.000803688,-0.003465418,-0.002255479,0.000329835,0.001683049,0.000263159,-0.000512964,-0.00107981,-0.001405403,-0.007042744,-0.00369653,0.001046665,-0.003901353,-0.001536149,0.000411523,0.001005928,-0.002400902,0.005566106,-0.001884494,0.003048913,0.004737222,-0.002169357,0.001775207,-0.000520255
874.4000244,-0.00273132,0.000923376,-0.002620488,-0.000138209,0.003314996,-0.001483164,0.004209565,-0.000850659,-9.33E-05,0.005892797,-0.002664175,-0.004657347,0.000871523,0.003741893,0.001074561,0.001395059,0.001403135,-0.002250844,0.002718962,0.003347603,0.003794926,-0.002061628,0.007635897,0.004837464,0.004759676,0.001926429,0.003343768,0.00278242,0.008684223,0.010650232,0.000186963,0.003747951
873.5999756,-0.005476397,0.004439903,-0.001345227,0.003034993,-0.000688383,-0.002240079,-0.004667693,0.003118495,-0.002491405,-0.000830662,0.005116903,0.001052971,-0.001392037,0.002401077,0.001052789,0.001098513,-0.001907329,-0.002850455,0.001045575,0.00642944,0.00386118,0.001546304,0.001288286,-0.001725388,0.0017842,0.003690512,-0.002273093,0.004208415,0.005002534,0.004208572,-0.001987886,0.005464987
872.7999878,0.00431366,-0.002312748,0.003177371,0.003872123,-0.000505517,0.00160385,0.001290701,0.001825582,0.003287843,-0.001044174,0.002131105,-0.001108832,0.00246311,0.002615196,0.006100874,0.006796957,0.0025069,0.00411378,0.003408675,0.003289852,0.003187593,0.003548514,0.003788633,0.002955938,0.004494198,0.00796357,0.002387308,0.006276485,0.00343594,0.004126715,0.005206623,0.003422946
872,-0.006279362,-0.006216337,-0.003048634,-0.00143012,0.001511027,-0.007949126,0.000656369,-0.005428645,-0.00335986,-0.003976514,0.003173016,-0.001545177,0.003042787,-0.003210544,-0.000420288,0.002278834,-0.003246259,0.001017267,-0.002424018,0.00417266,0.00015682,-0.003904534,0.004043646,-0.001075059,-0.000550246,-0.002661654,-0.000281238,0.002583764,0.00908598,-0.000804722,0.001277771,0.004780431
