wavelength (nm),DOMBlank1,DOMSTD22,DOM11960,DOM12423,DOM12425,DOM12449,DOM12455,DOM12469,DOM12483,DOMBlank2,DOM12497,DOM12535,DOM12577,DOM13165,DOM13287,DOM13311,DOM13435,DOM12152,DOM12717,DOMBlank3,DOM12718,DOM12838,DOM12840,DOM12982,DOM12995,DOM13009,DOM13016,DOM13020,DOM13021,DOMBlank4,DOM13022,DOM13043,DOM13052,DOM13056,DOM13060,DOM13061,DOM13067,DOM13145,DOM13146,DOM13452,DOMBlank5
873.5999756,-0.012286574,-0.013224626,-0.013630107,-0.011701975,-0.014313118,-0.014915875,-0.024396097,-0.023225594,-0.022120913,-0.024450665,-0.0278062,-0.0297563,-0.030669419,-0.032545783,-0.033861648,-0.034592245,-0.029783033,-0.034178745,-0.02954223,-0.027581936,-0.035221186,-0.035039641,-0.038135301,-0.034341466,-0.025310677,-0.030001864,-0.037253823,-0.029314265,-0.02796147,-0.027609676,-0.034942396,-0.034220953,-0.031585917,-0.029918365,-0.03066884,-0.034261573,-0.028754096,-0.026405334,-0.0294137,-0.030240916,-0.032164227
872.7999878,-0.000739967,-0.012434914,-0.015867988,-0.0130546,-0.021699697,-0.019780329,-0.019603349,-0.023269957,-0.029361058,-0.030090563,-0.028313367,-0.02804656,-0.029097507,-0.032443795,-0.033384319,-0.030382525,-0.035208248,-0.036981281,-0.027779102,-0.033128571,-0.032875314,-0.037523251,-0.033200666,-0.030353416,-0.030942479,-0.033348314,-0.027344089,-0.037663601,-0.036818787,-0.031826697,-0.033762172,-0.038767375,-0.03625565,-0.033774816,-0.037761286,-0.034988824,-0.03346888,-0.037213102,-0.032325059,-0.026861826,-0.03706605
872,-0.004878406,-0.011727525,-0.010346489,-0.011797011,-0.015346368,-0.011295899,-0.022295197,-0.030678777,-0.030890793,-0.032814834,-0.031176629,-0.027542723,-0.029619467,-0.035070781,-0.026446158,-0.030005729,-0.03237129,-0.033413947,-0.032781228,-0.035554752,-0.02882096,-0.027275832,-0.028785735,-0.034210376,-0.034859028,-0.029615404,-0.036584139,-0.02685331,-0.036681023,-0.03105446,-0.035810743,-0.035446312,-0.037699156,-0.042934358,-0.034489159,-0.034032721,-0.032427892,-0.03249304,-0.040416688,-0.031130753,-0.034797676
871.2000122,-0.000958069,-0.010445309,-0.019487238,-0.014748813,-0.018179504,-0.026154121,-0.025581513,-0.024641383,-0.027186215,-0.03008467,-0.026072171,-0.039676599,-0.038278677,-0.032740805,-0.029645097,-0.033741191,-0.034771584,-0.035763018,-0.032777004,-0.037977889,-0.037563518,-0.034008499,-0.032066427,-0.035521932,-0.036162339,-0.030208705,-0.035418443,-0.035966083,-0.036059484,-0.038662005,-0.03466529,-0.043843616,-0.031062413,-0.034649469,-0.03839935,-0.035299469,-0.03935479,-0.036529884,-0.035324097,-0.035226103,-0.036572814
870.4000244,-0.001451947,-0.011020395,-0.006960776,-0.009371286,-0.01655083,-0.025880082,-0.020699931,-0.023957437,-0.025889788,-0.020880461,-0.02629366,-0.028561832,-0.026865233,-0.027446795,-0.030851783,-0.029387379,-0.02409631,-0.032686021,-0.031188963,-0.032747768,-0.028689694,-0.03247238,-0.031902757,-0.02648201,-0.03377654,-0.029257352,-0.030537022,-0.036453296,-0.030769991,-0.033801734,-0.035000719,-0.031292982,-0.031758271,-0.03021479,-0.024088278,-0.033395298,-0.027099935,-0.036488283,-0.034308698,-0.032039449,-0.037397489
869.5999756,-0.006482358,-0.016309805,-0.015329077,-0.017490219,-0.020578483,-0.023096308,-0.029711001,-0.027971275,-0.029409539,-0.030729091,-0.029319637,-0.031983517,-0.033736832,-0.035173014,-0.03993291,-0.033583421,-0.032773741,-0.030663533,-0.034878377,-0.038821448,-0.034363758,-0.035581511,-0.041596252,-0.033226274,-0.037034199,-0.034434114,-0.036137044,-0.032327559,-0.036229216,-0.038412146,-0.03686963,-0.03091548,-0.040123466,-0.035013184,-0.036324032,-0.034722742,-0.041080303,-0.037758011,-0.032135282,-0.031778533,-0.03469827
868.7999878,-0.002822372,-0.00840501,-0.014492065,-0.015736492,-0.014569821,-0.019775432,-0.024881642,-0.027099108,-0.026676025,-0.025957484,-0.024599019,-0.031377949,-0.030505799,-0.036307462,-0.029030832,-0.030921314,-0.030725183,-0.032137349,-0.035493545,-0.037547328,-0.036276318,-0.031501953,-0.030908778,-0.029793717,-0.03094971,-0.038708657,-0.033918824,-0.033122431,-0.03476499,-0.034299992,-0.036089595,-0.035414722,-0.031776126,-0.03209297,-0.03166515,-0.029445196,-0.03271896,-0.028672248,-0.035250638,-0.035100531,-0.031759523
868,-0.001320659,-0.004533634,-0.01283098,-0.014820669,-0.01728335,-0.01762004,-0.012179765,-0.017313648,-0.015484376,-0.023853263,-0.025775736,-0.024434663,-0.026712198,-0.025234332,-0.024005936,-0.033552323,-0.027633434,-0.02264734,-0.022402991,-0.029279711,-0.030573647,-0.025410546,-0.028677676,-0.026278991,-0.027111659,-0.025790859,-0.027621239,-0.030375477,-0.032896627,-0.026638437,-0.027243886,-0.023228638,-0.028722454,-0.031412963,-0.030258009,-0.029503584,-0.028994657,-0.026985617,-0.030591743,-0.026246827,-0.033476405
867.2000122,-0.000582871,-0.009195691,-0.007760342,-0.016165527,-0.01603522,-0.019969299,-0.022137199,-0.022518128,-0.026775677,-0.025770808,-0.0243262,-0.023899032,-0.031057497,-0.031114753,-0.031695567,-0.030011142,-0.0335874,-0.031864416,-0.034727473,-0.033636417,-0.032191578,-0.030478386,-0.030940695,-0.035782281,-0.030693587,-0.035108745,-0.030447545,-0.030937899,-0.033395298,-0.034754716,-0.034629054,-0.034058571,-0.032766875,-0.033472426,-0.03771273,-0.039689925,-0.032790303,-0.036909387,-0.032142542,-0.031048724,-0.034713086
866.4000244,-0.008128885,-0.012197332,-0.018971832,-0.013651129,-0.017688142,-0.020728907,-0.021790797,-0.023981296,-0.02907877,-0.028180735,-0.026526675,-0.024502536,-0.027325666,-0.030605976,-0.03166765,-0.031257331,-0.033665836,-0.034562077,-0.031049687,-0.032809459,-0.032256905,-0.03191286,-0.034118589,-0.029379783,-0.032347213,-0.032320831,-0.033825252,-0.03393678,-0.032546457,-0.034258608,-0.029516933,-0.037021123,-0.038554195,-0.031021442,-0.0328517,-0.032667965,-0.026571967,-0.038825233,-0.032480452,-0.035828762,-0.035576027
865.5999756,0.002271964,-0.008305623,-0.007190748,-0.009895877,-0.017532386,-0.01438184,-0.019172747,-0.023739606,-0.027504774,-0.025989182,-0.030002879,-0.022193382,-0.022356424,-0.031208333,-0.03317865,-0.029775782,-0.032385848,-0.026387796,-0.027167881,-0.030597726,-0.024079854,-0.026742041,-0.035219036,-0.031694461,-0.031638049,-0.027427014,-0.031546824,-0.03155496,-0.027179601,-0.031142559,-0.035918567,-0.027231488,-0.029741943,-0.033396542,-0.026079971,-0.035775367,-0.037132215,-0.034601521,-0.028532697,-0.033911113,-0.032256618
