wavelength (nm),DOMBlank1,DOMSTD8,DOM12503,DOM12508,DOM12809,DOM12810,DOM12816,DOM12438,DOM12539,DOMBlank2,DOM12540,DOM13194,DOM13234,DOM11565,DOM11773,DOM11783,DOM11846,DOM11985,DOM12192,DOMBlank3,DOM12234,DOM12543,DOM12761,DOM12813,DOM12818,DOM12820,DOM12821,DOM12849,DOMBlank4
868.7999878,-0.002893451,0.006239088,0.003249243,0.003943953,0.002196196,0.00294619,0.00283716,8.36E-06,0.000527669,0.001199632,0.00417449,0.001439261,0.004146237,0.002139378,-0.000594039,-0.000514722,0.001271514,-0.000874686,0.003068152,-0.001802577,0.003776986,0.000683617,-0.002682545,0.004455621,0.000435361,0.001168873,0.003893775,0.003751632,0.003725679
868,-0.006790319,-0.005743996,-0.003357959,-0.005163103,-0.002255582,-0.003781427,-0.004487725,-0.003511486,-0.010183424,-0.003339927,-0.003256691,-0.00143559,3.50E-05,-0.001936193,-0.005494034,-0.007875056,-0.004507965,-0.005272316,-0.002730033,-0.003445541,-0.002898903,-0.004145309,-0.003940294,-0.004189152,-0.004134899,-0.003210082,-0.002333964,-0.003567973,-0.002573193
867.2000122,0.002912832,0.009021753,0.005608269,0.004047801,0.004558623,0.006825829,0.005013664,0.006542346,0.005385724,0.006512152,0.007244217,0.006348345,0.002815378,0.002269752,0.004546878,0.005431514,0.007170523,0.001482844,0.002628426,0.007166154,0.005146581,0.006686167,0.005269084,0.003763434,0.002185529,0.00375722,0.007002101,0.006685221,0.006587048
866.4000244,0.004699931,0.006232969,0.003883719,0.004565137,0.001624765,0.001479233,0.002563974,0.002585822,0.001628143,0.00361982,0.007657396,0.001567451,-0.001518299,0.002590665,0.003938676,0.002218415,0.003099385,0.001958983,0.00302368,0.002736857,0.003878078,0.001624843,0.002667701,0.000800925,0.001921151,0.006669291,0.005245607,0.005142128,0.004405384
865.5999756,0.002981454,0.008284603,0.000451531,0.005205758,0.000328773,0.002444106,0.00236167,0.002018118,0.000781631,-0.001400706,0.003900305,0.003199797,0.005203217,0.001343513,0.00161458,0.002054243,0.000164174,0.000113965,0.002124654,0.005807186,0.000855338,0.001057486,0.006730385,0.004586457,-0.000349889,0.005032126,-0.000907338,0.00053319,0.000530417
864.7999878,0.001204071,0.005134689,0.005360984,0.005226979,0.005417832,0.003464668,-0.00172446,0.004613352,0.004905605,0.004991458,0.001833693,5.19E-05,0.000296547,0.000491568,0.005706011,0.00400234,-2.52E-05,0.002795264,0.001715923,0.003977756,0.004494172,0.003907828,0.004914297,0.004352878,0.004023999,0.002963261,0.003472913,0.002239699,0.001672447
864,3.11E-05,0.004583553,0.003841932,0.00232068,0.002356855,0.00386071,0.001956851,0.00187677,0.004508086,0.003422581,0.004487215,0.001635471,0.002545981,0.001547421,0.0024805,0.003055769,0.000634773,0.001900793,0.004245324,-0.000167243,0.004498278,0.001614788,-0.001990515,-0.001449832,0.003404083,0.003495511,0.002756108,0.001371401,0.002720081
863.2000122,0.002862799,0.005879074,0.003670958,0.001770944,-2.28E-06,0.006747185,0.001409939,0.002477585,0.002572958,0.005149279,0.006027847,0.002622801,0.004155358,0.003612407,0.000242101,0.002408678,0.001923543,0.003005147,0.006536564,0.00345183,0.002405945,0.005544449,0.001055929,0.004255649,0.003445098,0.004112316,0.006296392,0.002079784,0.003624336
862.4000244,0.001268607,0.0063277,0.002390041,0.002345612,0.003164385,0.002849719,0.002899542,0.000376804,0.003924754,0.003126317,0.003519963,0.003941785,0.003783305,0.00184053,0.002602774,0.003230595,0.001546824,0.005078481,0.001955187,0.002224425,0.001221696,0.003516075,0.000872897,0.001253445,-0.000469473,0.002218883,0.000981929,0.002343009,0.003738734
861.5999756,0.003235029,0.005587581,0.006252192,-0.000681974,0.002000252,0.002802325,-0.000141677,0.001617334,-5.85E-05,-0.00042003,-0.00049652,-0.001056725,0.000868643,-0.000724203,0.000609939,6.86E-06,0.0014089,0.001147824,-0.000401099,-0.000877579,0.001279043,-0.000438959,-0.002524812,0.000457672,0.001311394,-0.000381443,0.002633192,-0.000600863,0.000881613
860.7999878,0.001728944,0.005080471,0.001171132,0.005183019,0.000336337,9.01E-06,0.002982496,0.0028813,0.000153531,0.002697889,0.002860246,0.003831512,0.002624389,0.003057829,-0.000138416,0.001000557,0.000370405,-0.002325982,0.001226447,-0.001355704,0.002060901,0.002344337,0.00027712,0.004892228,0.002275815,0.001790673,0.003352481,-0.000266647,0.000188309
860,0.004479002,0.006935918,0.005776807,0.006874322,0.005551711,0.004583998,0.006413887,0.003289747,0.001804735,0.003651223,0.002550043,0.00525842,0.004692997,0.003573412,0.004717935,0.002091931,0.003692313,0.00463682,0.007898163,0.004819063,0.002537649,0.005331187,0.000178987,0.004737562,0.007149944,0.004462316,0.00474701,0.003944005,0.005393456
