,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3
wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
759.2000122,-0.005145964,759.2000122,-0.006643453,759.2000122,-0.008363116
758.4000244,-0.002766508,758.4000244,-0.005573724,758.4000244,-0.008830285
757.5999756,-0.004163052,757.5999756,-0.006532493,757.5999756,-0.007575139
756.7999878,-0.005075559,756.7999878,-0.007760444,756.7999878,-0.008199914
756,-0.004093616,756,-0.007237085,756,-0.009643737
755.2000122,-0.004824343,755.2000122,-0.005429872,755.2000122,-0.007859091
754.4000244,-0.003634515,754.4000244,-0.005663416,754.4000244,-0.008576561
753.5999756,-0.002121085,753.5999756,-0.005169498,753.5999756,-0.007716096
752.7999878,-0.00135173,752.7999878,-0.004915162,752.7999878,-0.006971322
752,-0.004787682,752,-0.007476733,752,-0.007485893
751.2000122,-0.004553461,751.2000122,-0.005590182,751.2000122,-0.008750277
750.4000244,-0.004364374,750.4000244,-0.006983039,750.4000244,-0.008991373
749.5999756,-0.003261469,749.5999756,-0.006016382,749.5999756,-0.00878356
748.7999878,-0.003284284,748.7999878,-0.006533105,748.7999878,-0.008041225
748,-0.003926852,748,-0.006153456,748,-0.008092858
747.2000122,-0.0039819,747.2000122,-0.00728087,747.2000122,-0.008747334
746.4000244,-0.004710561,746.4000244,-0.007818008,746.4000244,-0.010414376
745.5999756,-0.004120848,745.5999756,-0.00832274,745.5999756,-0.010014126
744.7999878,-0.004900931,744.7999878,-0.006685055,744.7999878,-0.008200879
744,-0.005293133,744,-0.00679302,744,-0.008731147
743.2000122,-0.003954762,743.2000122,-0.007268906,743.2000122,-0.007642851
742.4000244,-0.004577847,742.4000244,-0.007951719,742.4000244,-0.008041073
741.5999756,-0.002469682,741.5999756,-0.006606588,741.5999756,-0.007972153
740.7999878,-0.004026528,740.7999878,-0.006344011,740.7999878,-0.008155256
740,-0.004330237,740,-0.006156927,740,-0.008694307
739.2000122,-0.003041591,739.2000122,-0.00536969,739.2000122,-0.009508318
