Baseline 100%T,,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3,,Sample 4 Rack 1 Tube 4,,Sample 5 Rack 1 Tube 5,,Sample 6 Rack 1 Tube 6,,Sample 7 Rack 1 Tube 7,,Sample 8 Rack 1 Tube 8,,Sample 9 Rack 1 Tube 9,,Sample 10 Rack 1 Tube 10,,Sample 11 Rack 1 Tube 11,,Sample 12 Rack 1 Tube 12,,Sample 13 Rack 1 Tube 13,,Sample 14 Rack 1 Tube 14,,Sample 15 Rack 1 Tube 15,,Sample 16 Rack 1 Tube 16,,Sample 17 Rack 1 Tube 17,,Sample 18 Rack 1 Tube 18,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
876.7999878,0.7142198086,876.7999878,-0.004599772394,876.7999878,-0.01554157399,876.7999878,-0.009286614135,876.7999878,-0.01067021117,876.7999878,-0.01518587023,876.7999878,-0.02131361328,876.7999878,-0.01988775656,876.7999878,-0.02593875676,876.7999878,-0.02069410682,876.7999878,-0.01821237057,876.7999878,-0.01773595624,876.7999878,-0.02031937987,876.7999878,-0.01915739104,876.7999878,-0.0222668685,876.7999878,-0.02379626781,876.7999878,-0.01363723166,876.7999878,-0.03036828525,876.7999878,-0.02425242215,
876,0.7121834755,876,-0.003637903836,876,-0.002358629135,876,-0.01048220228,876,-0.01789755188,876,-0.009532123804,876,-0.01911077276,876,-0.0165578071,876,-0.01263314299,876,-0.01409575716,876,-0.02333531342,876,-0.01287611481,876,-0.01494838949,876,-0.02217527665,876,-0.02395576984,876,-0.01915199123,876,-0.02427910455,876,-0.02139607072,876,-0.02414009348,
875.2000122,0.7183999419,875.2000122,-0.01099439897,875.2000122,-0.01820944063,875.2000122,-0.01480550785,875.2000122,-0.02051295713,875.2000122,-0.02367239818,875.2000122,-0.01877578162,875.2000122,-0.02606207877,875.2000122,-0.02284803614,875.2000122,-0.0316456072,875.2000122,-0.02726041898,875.2000122,-0.02241095528,875.2000122,-0.02705936879,875.2000122,-0.0336907953,875.2000122,-0.02351813577,875.2000122,-0.02954784222,875.2000122,-0.0246646665,875.2000122,-0.02863056585,875.2000122,-0.02658808604,
874.4000244,0.7176790833,874.4000244,-0.004748969804,874.4000244,-0.006890664343,874.4000244,-0.01657190919,874.4000244,-0.01729907095,874.4000244,-0.01746257022,874.4000244,-0.01972660422,874.4000244,-0.0199359227,874.4000244,-0.02212549001,874.4000244,-0.02408744581,874.4000244,-0.02729644626,874.4000244,-0.0193977803,874.4000244,-0.0271064546,874.4000244,-0.03156738356,874.4000244,-0.02555242181,874.4000244,-0.02361925133,874.4000244,-0.02643514983,874.4000244,-0.02752882801,874.4000244,-0.02262576669,
873.5999756,0.7133246064,873.5999756,-0.002375981538,873.5999756,-0.01059857477,873.5999756,-0.01125276834,873.5999756,-0.004789627623,873.5999756,-0.01186719071,873.5999756,-0.01642761752,873.5999756,-0.01855751872,873.5999756,-0.0180475153,873.5999756,-0.02065881155,873.5999756,-0.02133431472,873.5999756,-0.02059275284,873.5999756,-0.02216356993,873.5999756,-0.02263028733,873.5999756,-0.02326838672,873.5999756,-0.02074400894,873.5999756,-0.0203809347,873.5999756,-0.02494402044,873.5999756,-0.02456922643,
872.7999878,0.7165256739,872.7999878,-0.005575411487,872.7999878,-0.01083167922,872.7999878,-0.01778878458,872.7999878,-0.01555146463,872.7999878,-0.02215181105,872.7999878,-0.02250937931,872.7999878,-0.01712799631,872.7999878,-0.0211388357,872.7999878,-0.02881015465,872.7999878,-0.02445741929,872.7999878,-0.0253990218,872.7999878,-0.02178154141,872.7999878,-0.02605964057,872.7999878,-0.02655896358,872.7999878,-0.02203603461,872.7999878,-0.02252864838,872.7999878,-0.0220711194,872.7999878,-0.02223986574,
872,0.7177925706,872,-0.007043661084,872,-0.01168423519,872,-0.01821028627,872,-0.01273441035,872,-0.02157202549,872,-0.02382400632,872,-0.023710832,872,-0.02790403925,872,-0.02176539041,872,-0.02549120411,872,-0.02987255156,872,-0.02570318058,872,-0.02598962002,872,-0.02733859606,872,-0.02555354312,872,-0.02498908713,872,-0.03075065091,872,-0.02698683366,
871.2000122,0.7136582136,871.2000122,-0.005823742598,871.2000122,-0.006000400055,871.2000122,-0.009814344347,871.2000122,-0.01642756723,871.2000122,-0.01290772762,871.2000122,-0.01591705158,871.2000122,-0.01932558976,871.2000122,-0.02376710437,871.2000122,-0.0193628259,871.2000122,-0.01791046932,871.2000122,-0.02194271982,871.2000122,-0.02275912277,871.2000122,-0.02558117174,871.2000122,-0.0240588896,871.2000122,-0.02200881951,871.2000122,-0.0270212777,871.2000122,-0.02542592585,871.2000122,-0.02329983935,
870.4000244,0.7163882852,870.4000244,-0.007129383273,870.4000244,-0.008743578568,870.4000244,-0.01297586877,870.4000244,-0.01674016565,870.4000244,-0.0188207496,870.4000244,-0.01970142126,870.4000244,-0.01653906889,870.4000244,-0.02163724601,870.4000244,-0.02036641166,870.4000244,-0.02327937819,870.4000244,-0.02062371001,870.4000244,-0.02554524504,870.4000244,-0.02755924501,870.4000244,-0.03170168027,870.4000244,-0.02998026647,870.4000244,-0.02942826226,870.4000244,-0.0232361462,870.4000244,-0.02566350624,
869.5999756,0.7161388397,869.5999756,-0.004189664498,869.5999756,-0.01343253348,869.5999756,-0.01347775664,869.5999756,-0.01983547956,869.5999756,-0.01905290224,869.5999756,-0.01657978259,869.5999756,-0.02295141853,869.5999756,-0.02412001416,869.5999756,-0.01666020602,869.5999756,-0.02424522489,869.5999756,-0.02184667997,869.5999756,-0.02456903085,869.5999756,-0.02388785966,869.5999756,-0.02772990242,869.5999756,-0.02257907763,869.5999756,-0.02641157061,869.5999756,-0.02453879453,869.5999756,-0.03005254455,
868.7999878,0.7182561159,868.7999878,-0.003611360211,868.7999878,-0.009953310713,868.7999878,-0.01593856141,868.7999878,-0.01602723636,868.7999878,-0.0224070698,868.7999878,-0.01878956519,868.7999878,-0.02289808542,868.7999878,-0.02317897044,868.7999878,-0.02222702652,868.7999878,-0.02613345347,868.7999878,-0.02608397044,868.7999878,-0.02667534351,868.7999878,-0.02372387052,868.7999878,-0.02873199992,868.7999878,-0.02852886543,868.7999878,-0.02882401086,868.7999878,-0.0288608782,868.7999878,-0.02685535327,
868,0.716146946,868,-0.007476325613,868,-0.008039293811,868,-0.01045470964,868,-0.01573624276,868,-0.01549396757,868,-0.01910750382,868,-0.01912910305,868,-0.02071009949,868,-0.02488486841,868,-0.02441528253,868,-0.02621436678,868,-0.02636762522,868,-0.02595738694,868,-0.02799797244,868,-0.02937281504,868,-0.02504778467,868,-0.02606646717,868,-0.02780435421,
867.2000122,0.715747416,867.2000122,-0.005204643123,867.2000122,-0.012011596,867.2000122,-0.01379629597,867.2000122,-0.01792283915,867.2000122,-0.01701121964,867.2000122,-0.01675291732,867.2000122,-0.0189565178,867.2000122,-0.02453732491,867.2000122,-0.02132800594,867.2000122,-0.02416712604,867.2000122,-0.02435483597,867.2000122,-0.02615504712,867.2000122,-0.02586959489,867.2000122,-0.02698303759,867.2000122,-0.0258163251,867.2000122,-0.02640401945,867.2000122,-0.02694518492,867.2000122,-0.02886296064,
866.4000244,0.7161365747,866.4000244,-0.007066532504,866.4000244,-0.01178073604,866.4000244,-0.01462944318,866.4000244,-0.01515252423,866.4000244,-0.01887597516,866.4000244,-0.02220976166,866.4000244,-0.02326936834,866.4000244,-0.02220420353,866.4000244,-0.02354829572,866.4000244,-0.02525914647,866.4000244,-0.02258728445,866.4000244,-0.02786820754,866.4000244,-0.02279184014,866.4000244,-0.02677144296,866.4000244,-0.0293105375,866.4000244,-0.02899325266,866.4000244,-0.02448634058,866.4000244,-0.02887366712,
865.5999756,0.7144346833,865.5999756,-0.0078811571,865.5999756,-0.01021417137,865.5999756,-0.01380833238,865.5999756,-0.01208788436,865.5999756,-0.01696461998,865.5999756,-0.02054461092,865.5999756,-0.0170465149,865.5999756,-0.02245127037,865.5999756,-0.02279650792,865.5999756,-0.02230277099,865.5999756,-0.02136349306,865.5999756,-0.02593383007,865.5999756,-0.02479866892,865.5999756,-0.02625369839,865.5999756,-0.0257194303,865.5999756,-0.02647694387,865.5999756,-0.02333457768,865.5999756,-0.02637649328,
864.7999878,0.7118847966,864.7999878,-0.003954146523,864.7999878,-0.00859859027,864.7999878,-0.0109599214,864.7999878,-0.01501646172,864.7999878,-0.01590437442,864.7999878,-0.01705408096,864.7999878,-0.01937470771,864.7999878,-0.02284331992,864.7999878,-0.02042148821,864.7999878,-0.01929557882,864.7999878,-0.02281070501,864.7999878,-0.02417354099,864.7999878,-0.02317789011,864.7999878,-0.02553206496,864.7999878,-0.02265240252,864.7999878,-0.02221168019,864.7999878,-0.02192844637,864.7999878,-0.02230164036,
864,0.7149987221,864,-0.006979116704,864,-0.009335665964,864,-0.01415915322,864,-0.01325606182,864,-0.01861744002,864,-0.01897956245,864,-0.02160163224,864,-0.01900330186,864,-0.02428116091,864,-0.02517956868,864,-0.02460449934,864,-0.0269758869,864,-0.02540619858,864,-0.02605262026,864,-0.02543276176,864,-0.02436922491,864,-0.02481197007,864,-0.02479871735,
