wavelength (nm),DOMBlank1,DOMSTD19,DOM11943,DOM12001,DOM12473,DOM12598,DOM12603,DOM12614,DOM12693,DOMBlank2,DOM12695,DOM12763,DOM12851,DOM12903,DOM12909,DOM13428,DOM13430,DOMBlank3
841.5999756,-0.005368002,-0.010833547,-0.016267369,-0.018983874,-0.019078471,-0.020307373,-0.022493059,-0.025826132,-0.024779452,-0.025432469,-0.023266081,-0.024470191,-0.025505265,-0.027469832,-0.024717588,-0.026288154,-0.027784346,-0.028950294
840.7999878,-0.010394866,-0.009477623,-0.014813714,-0.016332094,-0.018199114,-0.020944748,-0.022518866,-0.023410669,-0.026176933,-0.025243467,-0.023923924,-0.024239155,-0.027506182,-0.025861595,-0.025503458,-0.02705217,-0.02725332,-0.02720625
840,-0.00490477,-0.009210947,-0.013272081,-0.014052353,-0.013818363,-0.017831868,-0.018224036,-0.02229505,-0.020116473,-0.02117,-0.021437319,-0.02099408,-0.022715887,-0.026082508,-0.022584386,-0.024496812,-0.024798131,-0.024110023
839.2000122,-0.006302886,-0.006548506,-0.012804138,-0.013591121,-0.016280534,-0.019216584,-0.019832067,-0.021633403,-0.022558877,-0.022940222,-0.023297926,-0.024729913,-0.023195755,-0.024913907,-0.025559694,-0.023876296,-0.027091132,-0.02566297
838.4000244,-0.005384928,-0.010019742,-0.013538733,-0.01637941,-0.016788283,-0.019001219,-0.021153038,-0.024481202,-0.021358466,-0.022937275,-0.02409827,-0.026456876,-0.02321519,-0.027023613,-0.024636198,-0.02394166,-0.025972893,-0.026494041
837.5999756,-0.003815196,-0.008285205,-0.010965425,-0.014201946,-0.015139874,-0.019748123,-0.019919951,-0.022676922,-0.023221374,-0.022396155,-0.021850225,-0.025119178,-0.02253666,-0.022936735,-0.025275804,-0.023751272,-0.025013672,-0.023720685
836.7999878,-0.00704412,-0.009709811,-0.009982202,-0.013751557,-0.016972089,-0.018308721,-0.019630913,-0.024399033,-0.022875886,-0.023887418,-0.023212049,-0.02351843,-0.025857059,-0.028136823,-0.023734508,-0.024277147,-0.026914189,-0.025823839
836,-0.006900142,-0.009915005,-0.014028042,-0.017113762,-0.018120913,-0.017947033,-0.019743029,-0.025107646,-0.022989966,-0.024211049,-0.025574436,-0.024630181,-0.026210858,-0.029290745,-0.025252454,-0.024747763,-0.027262071,-0.026182784
835.2000122,-0.004583943,-0.009722721,-0.012356926,-0.014062678,-0.016821554,-0.016549185,-0.017117843,-0.021884194,-0.021838309,-0.022023633,-0.022659576,-0.024324143,-0.023579288,-0.024153413,-0.022927258,-0.022616724,-0.025104031,-0.024540311
834.4000244,-0.005527824,-0.007422228,-0.013099311,-0.015574542,-0.015554312,-0.018581528,-0.019145254,-0.022584237,-0.021656012,-0.023178773,-0.021681771,-0.023395069,-0.022370733,-0.024837395,-0.025420116,-0.02602,-0.024054432,-0.026595343
833.5999756,-0.002566605,-0.008575597,-0.0138821,-0.015389244,-0.016504928,-0.01896633,-0.018844249,-0.022663949,-0.023088308,-0.022740208,-0.022400137,-0.024528518,-0.021571977,-0.025847547,-0.02484116,-0.025522303,-0.024230881,-0.02475461
832.7999878,-0.005199067,-0.009411818,-0.012385456,-0.013240193,-0.01631923,-0.01708569,-0.02107946,-0.021065699,-0.024095869,-0.02350867,-0.023273245,-0.02276089,-0.025051156,-0.027372526,-0.026021512,-0.024407696,-0.027363291,-0.026470223
832,-0.004050328,-0.009234363,-0.013559609,-0.013610087,-0.016453538,-0.01901242,-0.017856712,-0.022901818,-0.021581978,-0.021576656,-0.023552857,-0.022688862,-0.025103444,-0.024843751,-0.023816509,-0.02511996,-0.024893865,-0.026140472
831.2000122,-0.003706694,-0.00788375,-0.011185517,-0.016414756,-0.018486973,-0.017973211,-0.020105451,-0.021776075,-0.021681031,-0.022158502,-0.022512574,-0.02425345,-0.022927552,-0.025096018,-0.024682276,-0.023844443,-0.026785217,-0.02599952
830.4000244,-0.00765272,-0.009256207,-0.013024556,-0.016606594,-0.01581238,-0.017684067,-0.020570781,-0.023071026,-0.022867683,-0.022917975,-0.023708185,-0.025307599,-0.026174838,-0.028529594,-0.024518831,-0.02558244,-0.026244877,-0.027268197
