wavelength (nm),DOMBlank1,DOMSTD33,DOM13474F,DOM12725,DOM12778,DOM12865,DOM12925,DOM12956,DOM12966,DOMBlank2,DOM12967,DOM13115,DOM13211,DOM13212,DOM13491,DOM13511,DOM13512,DOM13513,DOMBlank3
865.5999756,-0.008624932,-0.012325324,-0.013029329,-0.017061051,-0.021812018,-0.017698979,-0.017399853,-0.020329211,-0.026596608,-0.026155632,-0.024901588,-0.022790318,-0.026070952,-0.026036043,-0.022722421,-0.024488444,-0.027160391,-0.030063752,-0.028959546
864.7999878,-0.00488199,-0.010343758,-0.009067078,-0.006738022,-0.014726743,-0.017263846,-0.01438184,-0.02385694,-0.017973658,-0.016194256,-0.018200109,-0.02470047,-0.020843601,-0.021211663,-0.023164148,-0.023068277,-0.02456037,-0.021783756,-0.019310584
864,-0.006081529,-0.008223689,-0.008956026,-0.014684102,-0.011573195,-0.021964574,-0.020725796,-0.02369789,-0.022138724,-0.021938782,-0.022760104,-0.026618863,-0.030035878,-0.027614826,-0.026318073,-0.027903019,-0.024967337,-0.026009418,-0.024094939
863.2000122,-0.008794569,-0.007690004,-0.009898509,-0.011330048,-0.020539623,-0.011400102,-0.021240506,-0.02080881,-0.020600554,-0.020421389,-0.025195446,-0.021595228,-0.026656842,-0.02068463,-0.024219178,-0.02361425,-0.028664008,-0.023238059,-0.027819505
862.4000244,-0.00688939,-0.009492718,-0.009827504,-0.018574733,-0.019350644,-0.021032801,-0.019153576,-0.020283906,-0.021961425,-0.022608319,-0.024512813,-0.025876911,-0.022107629,-0.025571702,-0.026099572,-0.024847027,-0.025005655,-0.028712422,-0.024933999
861.5999756,-0.003857892,-0.009316715,-0.008731756,-0.010750675,-0.011239299,-0.014356196,-0.016078576,-0.015141075,-0.019214405,-0.022422362,-0.02038133,-0.018397311,-0.021433031,-0.019388225,-0.023891388,-0.019845817,-0.019464022,-0.021464076,-0.021337125
860.7999878,0.000366648,-0.004981856,-0.011194902,-0.010020197,-0.016471384,-0.014113299,-0.018165998,-0.018743949,-0.014980451,-0.019802934,-0.021567542,-0.01988014,-0.016352786,-0.023307003,-0.018287925,-0.021776371,-0.020580657,-0.019955356,-0.021573307
860,-0.011338219,-0.014123121,-0.013422143,-0.013586806,-0.019860754,-0.021193223,-0.022684392,-0.021007892,-0.021942278,-0.026441775,-0.024839986,-0.023054924,-0.028076017,-0.027279722,-0.029986644,-0.025750803,-0.025467234,-0.028833071,-0.02983026
859.2000122,-0.007475664,-0.009220831,-0.00650128,-0.01586679,-0.015386445,-0.023164295,-0.018686973,-0.01835612,-0.023925295,-0.024154296,-0.024524067,-0.023022667,-0.019186419,-0.019877026,-0.024701545,-0.019930335,-0.027537428,-0.027304176,-0.026160995
858.4000244,-0.006710545,-0.010612923,-0.012038286,-0.016488979,-0.015943052,-0.024921827,-0.019930335,-0.022797393,-0.026879881,-0.024508359,-0.022351852,-0.023717009,-0.026353497,-0.023569578,-0.023463301,-0.028578216,-0.027506765,-0.023696713,-0.028168654
857.5999756,-0.005952502,-0.009338453,-0.005983958,-0.01629669,-0.016353583,-0.01732479,-0.017510209,-0.021054601,-0.020550486,-0.019917725,-0.019665847,-0.018990368,-0.024769867,-0.022277541,-0.025354192,-0.023027282,-0.023744116,-0.021586016,-0.026693357
856.7999878,-0.001555804,-0.007973525,-0.007703177,-0.011247723,-0.015760509,-0.015850019,-0.012134003,-0.015465541,-0.018236199,-0.019608594,-0.020702794,-0.018576866,-0.02055903,-0.018789565,-0.019404614,-0.02223352,-0.019653725,-0.02236739,-0.019616809
856,-0.011297211,-0.01284621,-0.008912257,-0.014320982,-0.016609384,-0.017481815,-0.020923436,-0.020659305,-0.019655209,-0.025772028,-0.024854947,-0.022691369,-0.024279008,-0.024701009,-0.025587711,-0.026643306,-0.025692983,-0.024403194,-0.024500187
855.2000122,-0.007317321,-0.010385665,-0.010839052,-0.014803406,-0.016016109,-0.017191945,-0.020575669,-0.018522942,-0.022167701,-0.024233719,-0.020750377,-0.022380862,-0.025853742,-0.024308283,-0.022768654,-0.024603814,-0.021169458,-0.02534296,-0.027971955
