wavelength (nm),DOMBlank1,DOMSTD20,DOM11407,DOM11740,DOM11743,DOM11902,DOM11904,DOM11915,DOM11934,DOMBlank2,DOM11961,DOM12617,DOM12627,DOM13189,DOM13236,DOM13337,DOM13238,DOM11609,DOM11762,DOMBlank3,DOM12140,DOM12200,DOM12221,DOM12278,DOM12733,DOM12737,DOM12771,DOM12776,DOM12826,DOMBlank4,DOM12828,DOM12833,DOM12907,DOM13038,DOM13125,DOM13213,DOM13244,DOM13245,DOMBlank5
892,-0.011611505,-0.006971984,-0.017025059,-0.010778352,-0.019893691,-0.018210484,-0.002219837,-0.023336198,-0.012699517,-0.002537114,-0.012402966,-0.024177801,-0.020738285,-0.021571483,-0.007584246,-0.029491153,-0.019947741,-0.009318792,-0.012399897,-0.015292892,-0.02175761,-0.02396209,-0.016884603,0.002901313,-0.023964833,-0.025105644,-0.010700974,-0.00888015,0.002459413,-0.021404844,0.003542119,-0.007989638,-0.011938014,-0.002287565,-0.01582481,-0.012507104,-0.017942909,-0.013911232,-0.012108376
891.2000122,-0.012567362,-0.007206585,0.006480568,-0.013199063,-0.009853822,-0.004188178,-0.022858448,-0.001480894,-0.010343404,-0.015876772,-0.023141617,-0.013354724,-0.017509613,-0.019139905,-0.031653933,-0.004096693,-0.016966861,-0.02955321,-0.01426242,-0.032712188,-0.020136936,-0.011653794,-0.030951735,-0.01960711,-0.011268962,-0.011014237,-0.012428072,-0.027081259,-0.017170696,-0.018368926,-0.019169329,-0.028102515,-0.011556106,-0.014486907,-0.022183295,-0.01523651,-0.008187772,-0.039908022,-0.021002762
890.4000244,-0.004252728,0.01040059,-0.016236899,-0.012918431,-0.000193377,-0.006799544,-0.004660574,-0.01010154,-0.020385528,-0.008974942,-0.014599008,-0.014000472,-0.018933373,-0.007859295,0.003712964,-0.009609709,-0.02015557,-0.014105781,-0.016845908,-0.017199211,-0.02562627,-0.010068307,-4.61E-06,-0.019484663,-0.008582754,-0.012484367,-0.010595796,-0.018482707,-0.015940657,-0.007182804,-0.022940909,-0.007847601,0.003723303,-0.021581534,-0.022940909,-0.018323662,-0.003351897,-0.010202287,-0.007036122
889.5999756,-0.005165559,-0.009582566,-0.026327915,-0.010847989,0.009569079,-0.009846433,-0.009120109,-0.005537689,-0.010462997,-0.016698319,-0.020556215,-0.002001337,-0.021552863,-0.013083034,-0.007669048,-0.021987313,-0.021105845,-0.027679387,-0.021931991,-0.013420035,-0.014693812,-0.012058076,-0.019193701,0.000979957,-0.022982502,-0.017147854,-0.027688762,-0.014585741,-0.017216578,-0.019449219,0.007993521,-0.0183319,-0.016717151,-0.002375775,-0.035753768,-0.025902031,0.001079283,-0.026327671,-0.010887373
888.7999878,0.020516971,0.014947946,0.018425696,0.01429299,-0.003410048,0.004500763,0.006588047,-0.006561306,0.006301619,0.011153108,0.002121116,-0.004805859,-0.002621362,-0.010311757,-0.004906715,-0.005576127,0.004853249,0.000633244,0.023479665,0.000184036,-0.004874413,0.007557343,0.007818138,0.013046262,0.007074503,-0.002686146,0.001891251,-0.004297534,-0.005662037,-0.010592461,0.003167827,0.007158207,-0.006867988,0.000938007,-0.002535261,0.008684592,0.010489101,-0.001686454,-0.000903205
888,-0.013077007,-0.001368091,-0.029148778,-0.010647681,-0.008175273,-0.026160898,-0.013302509,-0.010782644,-0.024808547,-0.014818667,-0.017305091,-0.022105414,-0.011798472,-0.033676758,-0.029024102,-0.02713087,-0.021889312,-0.018063359,-0.014694762,-0.03818661,-0.0180718,-0.016925335,-0.022680657,-0.025666678,-0.01518542,-0.022746151,-0.017627349,-0.028951166,-0.021264268,-0.027497727,-0.003031874,-0.014589646,-0.022172425,-0.015667984,-0.006134876,-0.007842414,-0.028931212,-0.024257956,-0.026618132
887.2000122,-0.008465992,-0.020343984,-0.010774058,-0.032756887,-0.028100817,-0.027233578,-0.020475423,-0.027538303,-0.025324987,-0.019460555,-0.025494378,-0.010359329,-0.034545295,-0.026449958,-0.030121334,-0.024697144,-0.025228128,-0.032985121,-0.02313504,-0.02687443,-0.027527077,-0.02516369,-0.020761384,-0.023638569,-0.020648247,-0.037312217,-0.026034823,-0.030161712,-0.031495932,-0.02005765,-0.017027549,-0.024363451,-0.029641276,-0.024383126,-0.02267422,-0.033696786,-0.020096801,-0.016296392,-0.032991886
886.4000244,0.007787593,0.006064438,-0.01208869,0.004498958,-0.00946506,-0.011004646,-0.009134659,0.004450181,-0.000132309,-0.008526205,-0.010192324,0.00572807,-0.015001807,0.008220151,-0.011642857,-0.014096459,-0.008930465,-0.014156346,-0.008927573,0.003525156,-0.003310488,-0.007279598,0.005175055,-0.006262573,0.006278901,-0.021995828,0.000121992,-0.003135559,-0.005279375,-0.004292561,-0.012321147,-0.013352565,-0.015394591,-0.008991728,-0.017676363,-0.002802208,-0.013196401,-0.012613178,-0.019575834
885.5999756,-0.000173557,-0.000342388,0.000137528,-0.019623738,-0.023996335,0.001146059,-0.009701255,-0.018873397,-0.013906769,-0.011390519,-0.022042235,-0.00816877,-0.011305332,-0.02259161,-0.017619146,-0.021405533,-0.007525634,-0.01661915,-0.016365848,-0.00769153,-0.0257408,-0.023770437,-0.018568184,-0.014474388,-0.019815942,-0.022900786,-0.016451744,-0.02733602,-0.022527566,-0.015764402,-0.007620621,-0.010187419,-0.008277383,-0.013897744,-0.025248205,-0.020845477,-0.005128773,-0.011413616,-0.019368965
884.7999878,-0.013564928,-0.01492578,-0.026969366,-0.020258112,-0.021682508,-0.019492187,-0.025590982,-0.020592012,-0.02202191,-0.025937049,-0.022608664,-0.027629158,-0.025434764,-0.021738257,-0.025880326,-0.019967372,-0.020367004,-0.022303509,-0.024365114,-0.016206674,-0.030532293,-0.015780428,-0.032170955,-0.024202285,-0.013487143,-0.022999099,-0.014085935,-0.020930393,-0.023382952,-0.024990797,-0.022498859,-0.023366714,-0.025812911,-0.020391654,-0.024428057,-0.019381789,-0.014178496,-0.019575339,-0.024481544
