wavelength (nm),DOMBlank1,DOMSTD36,DOM11560
668,-0.004699448,-0.005707566,-0.011853942
667.2000122,-0.006979167,-0.006287424,-0.01312076
666.4000244,-0.007158819,-0.006831601,-0.012323009
665.5999756,-0.007229804,-0.007125665,-0.012796145
664.7999878,-0.006515102,-0.007051812,-0.012562232
664,-0.006738327,-0.006155804,-0.012421733
663.2000122,-0.005870838,-0.004833098,-0.011622342
662.4000244,-0.006046659,-0.005724631,-0.011577329
661.5999756,-0.006507401,-0.005552053,-0.011159077
660.7999878,-0.007797719,-0.00686809,-0.011827946
660,-0.005574031,-0.005710427,-0.01198143
659.2000122,-0.007128008,-0.005635208,-0.012280785
658.4000244,-0.0058288,-0.004799868,-0.012142561
657.5999756,-0.006649418,-0.005609859,-0.013782805
656.7999878,-0.006643401,-0.005340644,-0.013588813
656,-0.005676345,-0.004812208,-0.011389611
655.2000122,-0.004936917,-0.005657387,-0.011745111
654.4000244,-0.005328523,-0.005393161,-0.011320515
653.5999756,-0.004652174,-0.004046686,-0.011199997
652.7999878,-0.004420238,-0.00349233,-0.011440444
652,-0.005611495,-0.004540755,-0.012112203
651.2000122,-0.005745273,-0.004675479,-0.012228189
650.4000244,-0.006415179,-0.004828387,-0.012228139
649.5999756,-0.005377616,-0.004754295,-0.011770356
648.7999878,-0.006153762,-0.004543163,-0.011424308
648,-0.005202546,-0.005128825,-0.010387991
647.2000122,-0.005923699,-0.003940397,-0.01077825
646.4000244,-0.006090514,-0.005065786,-0.011267096
645.5999756,-0.005782875,-0.005189911,-0.011813889
644.7999878,-0.005658153,-0.004584404,-0.011172297
644,-0.006066979,-0.00449823,-0.011088833
643.2000122,-0.005240809,-0.003569873,-0.010228127
642.4000244,-0.005833193,-0.003704179,-0.010492108
641.5999756,-0.005350155,-0.003435731,-0.010502771
640.7999878,-0.007180818,-0.004633786,-0.011680758
640,-0.004899907,-0.003961483,-0.009815357
639.2000122,-0.003737749,-0.003383645,-0.010579577
638.4000244,-0.004832432,-0.003498853,-0.012714903
637.5999756,-0.005375928,-0.004277335,-0.012258439
636.7999878,-0.005770154,-0.004109002,-0.011179462
636,-0.005558953,-0.004321934,-0.011143233
635.2000122,-0.005517447,-0.004003548,-0.011933733
634.4000244,-0.00583447,-0.003344191,-0.011407111
633.5999756,-0.007477089,-0.004990557,-0.013692567
632.7999878,-0.006384979,-0.004129412,-0.012446586
632,-0.006289415,-0.004177922,-0.011769802
631.2000122,-0.006213683,-0.003923466,-0.011188695
630.4000244,-0.005492194,-0.003783891,-0.011658481
629.5999756,-0.005375213,-0.003555393,-0.011323541
628.7999878,-0.005893822,-0.004367705,-0.012389129
628,-0.00632054,-0.004427258,-0.013301806
627.2000122,-0.005622176,-0.004132899,-0.012643955
626.4000244,-0.006527597,-0.004525949,-0.012426764
625.5999756,-0.006917722,-0.005254056,-0.013165212
624.7999878,-0.006323194,-0.004464001,-0.012369304
624,-0.005254466,-0.003491457,-0.012356875
623.2000122,-0.00546832,-0.003579167,-0.011857317
622.4000244,-0.005000588,-0.003553852,-0.012171055
621.5999756,-0.005300446,-0.003172976,-0.011565281
620.7999878,-0.005567029,-0.004033761,-0.012029625
620,-0.005126983,-0.004939067,-0.011922652
619.2000122,-0.006465679,-0.004574261,-0.011670678
618.4000244,-0.005679462,-0.002596558,-0.011348356
617.5999756,-0.004860744,-0.001917226,-0.010892221
616.7999878,-0.005339774,-0.002706367,-0.010555324
616,-0.00470585,-0.003232899,-0.011638271
615.2000122,-0.004619545,-0.002637109,-0.010127791
614.4000244,-0.005105084,-0.002417532,-0.009684598
613.5999756,-0.005538916,-0.001642255,-0.009307188
612.7999878,-0.005775007,-0.00240291,-0.009954272
612,-0.005724938,-0.001507929,-0.010577051
611.2000122,-0.005660912,-0.002240543,-0.010276214
610.4000244,-0.005280602,-0.001651384,-0.009285246
609.5999756,-0.004202175,-0.002190374,-0.009099578
608.7999878,-0.005269248,-0.001008485,-0.008271846
608,-0.003809243,-0.000169882,-0.007527516
607.2000122,-0.003681592,-0.00191738,-0.008931479
606.4000244,-0.003570489,-0.00253032,-0.009794806
605.5999756,-0.002974494,-0.001227949,-0.008858033
604.7999878,-0.003184797,-0.000710868,-0.009180636
604,-0.004490185,-0.001607439,-0.009358873
603.2000122,-0.005135783,-0.002151069,-0.010291129
