wavelength,DOMBlank1,DOM11188,DOM11392,DOM11339,DOM11372,DOM11381,DOM11382,DOM11385,DOMBlank2,DOM11389,DOM11393,DOM11394,DOMBlank3
830.4000244,-0.001826499,-0.001187783,0.000520438,0.00026909,0.000720123,4.22E-05,-0.000545127,-0.001499674,-0.001208073,-0.001240236,0.001086264,0.000443161,9.28E-05
829.5999756,-0.000577236,6.26E-05,0.001017007,8.49E-05,0.00135177,0.001016332,0.001105287,0.001858233,-0.000327593,-3.99E-06,0.000512171,0.000487966,0.001434456
828.7999878,0.000318203,0.000170855,0.000798202,0.002029431,0.00115029,0.000639284,0.001364026,0.000742682,0.000892611,0.000160186,0.001669251,0.000194758,0.000211436
828,8.33E-05,-5.90E-05,0.000349213,-0.000210712,-8.44E-06,-6.86E-05,0.001008834,0.000429609,0.0001483,0.000286108,-0.000529097,-0.001110537,-0.0001911
827.2000122,-0.000477903,0.000716078,0.000509217,0.001333698,-0.0005443,0.001982881,0.000466249,0.000710555,0.000207862,0.000918499,0.000765916,0.00131438,0.00113752
826.4000244,-0.001554463,-5.68E-05,-0.000769116,-0.000854276,-0.000343785,-0.000695568,-7.34E-05,-0.000375443,-0.000374978,-0.000934358,-0.000615443,-1.08E-05,-0.001317201
825.5999756,-0.000153477,0.000464876,0.000957464,0.000634255,0.001173416,0.001121455,0.001373375,0.001184914,0.000482264,0.000742111,5.70E-05,0.000573286,0.00053617
824.7999878,-0.000403065,1.29E-06,0.001216375,-0.000185977,0.001667692,0.00231917,0.001142373,0.00036942,0.000106793,0.000441477,0.00068805,0.000881613,0.000875491
824,0.001584182,0.002102075,0.002461496,0.002468525,0.002300433,0.003142874,0.002862434,0.001501831,0.002082307,0.001712831,0.00194398,0.001881059,0.002584311
823.2000122,-0.0003099,-0.000792578,8.48E-05,-0.001140796,0.000119584,0.000311649,0.000552888,-0.001083993,0.000861199,-0.000678821,-0.000421943,0.000664302,-2.29E-05
