Baseline 100%T,,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3,,Sample 4 Rack 1 Tube 4,,Sample 5 Rack 1 Tube 5,,Sample 6 Rack 1 Tube 6,,Sample 7 Rack 1 Tube 7,,Sample 8 Rack 1 Tube 8,,Sample 9 Rack 1 Tube 9,,Sample 10 Rack 1 Tube 10,,Sample 11 Rack 1 Tube 11,,Sample 12 Rack 1 Tube 12,,Sample 13 Rack 1 Tube 13,,Sample 14 Rack 1 Tube 14,,Sample 15 Rack 1 Tube 15,,Sample 16 Rack 1 Tube 16,,Sample 17 Rack 1 Tube 17,,Sample 18 Rack 1 Tube 18,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
876.7999878,0.758769989,876.7999878,0.005322853569,876.7999878,0.003820412792,876.7999878,0.0008346922114,876.7999878,-0.007804787252,876.7999878,8.240285388E-5,876.7999878,-0.005968843121,876.7999878,-0.00990043208,876.7999878,-0.01043565478,876.7999878,-0.01455199812,876.7999878,-0.01283223648,876.7999878,-0.008055506274,876.7999878,-0.01207907218,876.7999878,-0.009486233816,876.7999878,-0.007638578303,876.7999878,-0.008435071446,876.7999878,-0.007873784751,876.7999878,-0.01344739087,876.7999878,-0.01292596944,
876,0.7604016066,876,-0.007523241919,876,0.0003587723477,876,-0.001226555556,876,0.00316373352,876,-0.002932020696,876,-0.002830755664,876,-0.01802799664,876,-0.006814222317,876,-0.01149364002,876,-0.009233958088,876,-0.00973684527,876,-0.01063434407,876,-0.01305450033,876,-0.01126220264,876,-0.009033207782,876,-0.01798960194,876,-0.005136038642,876,-0.01686064899,
875.2000122,0.7594369054,875.2000122,-0.001271364512,875.2000122,0.002002982656,875.2000122,0.004209251609,875.2000122,-0.004630661104,875.2000122,-0.006450019777,875.2000122,-0.005401086062,875.2000122,-0.004335312173,875.2000122,-0.008478634991,875.2000122,-0.007991366088,875.2000122,-0.01401751582,875.2000122,-0.01195639838,875.2000122,-0.01277855039,875.2000122,-0.017022321,875.2000122,-0.01277638879,875.2000122,-0.008718157187,875.2000122,-0.01074577589,875.2000122,-0.01083859708,875.2000122,-0.01528784446,
874.4000244,0.7631533742,874.4000244,-0.003689703066,874.4000244,-0.0001462828513,874.4000244,-0.002318979008,874.4000244,-0.01075128093,874.4000244,-0.006694537587,874.4000244,-0.008221657947,874.4000244,-0.01303395163,874.4000244,-0.01061080117,874.4000244,-0.01794266142,874.4000244,-0.01482952479,874.4000244,-0.01529589109,874.4000244,-0.01450087782,874.4000244,-0.01542891841,874.4000244,-0.01636724547,874.4000244,-0.01463960391,874.4000244,-0.01790872961,874.4000244,-0.02001256309,874.4000244,-0.01827422529,
873.5999756,0.7600666881,873.5999756,0.0009954458801,873.5999756,-0.00382684567,873.5999756,0.001831717324,873.5999756,-0.008459849283,873.5999756,-0.0006269713049,873.5999756,-0.01175720524,873.5999756,-0.01466388069,873.5999756,-0.008059368469,873.5999756,-0.009066571482,873.5999756,-0.007642698474,873.5999756,-0.01828489639,873.5999756,-0.005979822017,873.5999756,-0.01160651539,873.5999756,-0.01171215437,873.5999756,-0.01300963387,873.5999756,-0.006617755163,873.5999756,-0.01290466171,873.5999756,-0.01125594694,
872.7999878,0.7596760392,872.7999878,-0.004698013887,872.7999878,0.002757541137,872.7999878,-0.003181816079,872.7999878,-0.002999431686,872.7999878,-0.003327545011,872.7999878,-0.01299139485,872.7999878,-0.009461666457,872.7999878,-0.01175100729,872.7999878,-0.008755096234,872.7999878,-0.007644275669,872.7999878,-0.01282690838,872.7999878,-0.01003269292,872.7999878,-0.01174430549,872.7999878,-0.01181363687,872.7999878,-0.008039752021,872.7999878,-0.010774564,872.7999878,-0.01037348341,872.7999878,-0.01072612777,
872,0.7642067671,872,-0.005207456648,872,-0.005042655859,872,-0.008420243859,872,-0.009112860076,872,-0.009701811709,872,-0.01853514649,872,-0.01656508259,872,-0.01580833644,872,-0.01825357415,872,-0.01015378814,872,-0.01150891744,872,-0.01547848061,872,-0.0193100404,872,-0.02005082741,872,-0.01254050341,872,-0.0190472547,872,-0.01579226181,872,-0.01507477183,
871.2000122,0.7593887448,871.2000122,0.00167624082,871.2000122,-0.0004060645006,871.2000122,-0.0004476999457,871.2000122,-0.006346765906,871.2000122,-0.002576795407,871.2000122,-0.006074994802,871.2000122,-0.009547368623,871.2000122,-0.01073294692,871.2000122,-0.006687808316,871.2000122,-0.01063833479,871.2000122,-0.01219290309,871.2000122,-0.01264848094,871.2000122,-0.01275255997,871.2000122,-0.01243878808,871.2000122,-0.01082395297,871.2000122,-0.01050666161,871.2000122,-0.01189031266,871.2000122,-0.01105284877,
870.4000244,0.7595109344,870.4000244,-0.003154679202,870.4000244,-0.003023545025,870.4000244,-0.002307649702,870.4000244,-0.003541579237,870.4000244,-0.01017477643,870.4000244,-0.004720394034,870.4000244,-0.006866204552,870.4000244,-0.002491971711,870.4000244,-0.01223568898,870.4000244,-0.009384003468,870.4000244,-0.008744237944,870.4000244,-0.009142668918,870.4000244,-0.009882112034,870.4000244,-0.017926367,870.4000244,-0.0136828851,870.4000244,-0.008448933251,870.4000244,-0.0137938885,870.4000244,-0.01347409282,
869.5999756,0.7615936995,869.5999756,-0.001854285947,869.5999756,-0.0005127570475,869.5999756,-0.004560684785,869.5999756,-0.004218428861,869.5999756,-0.004266775213,869.5999756,-0.00682512857,869.5999756,-0.01358384546,869.5999756,-0.0167570021,869.5999756,-0.01570378803,869.5999756,-0.009998189285,869.5999756,-0.01329101063,869.5999756,-0.01324767526,869.5999756,-0.01014736481,869.5999756,-0.01372427028,869.5999756,-0.01586404443,869.5999756,-0.01615260728,869.5999756,-0.01042170543,869.5999756,-0.0117547363,
