wavelength (nm),DOMBlank1,DOMSTD23,DOM12446,DOM12471,DOM12478,DOM12479,DOM12523,DOM12528,DOM12529,DOMBlank2,DOM12628,DOM13290,DOM13292,DOM13294,DOM13314,DOM13317,DOM13398,DOM12274,DOM12703,DOMBlank3,DOM12705,DOM12722,DOM12723,DOM13001,DOM13008,DOM13049,DOM13053,DOM13064,DOM13068,DOMBlank4,DOM13072,DOM13450,DOM13457,DOM13618,DOM13619,DOMBlank5
200.7999878,0.00109815,0.577567995,0.220865965,0.139794827,0.252509832,0.769465685,1.075816035,0.601007402,0.533846736,0.017555915,0.48333025,0.105808377,0.150867909,0.112024054,0.18809855,0.080805972,0.587047875,1.310285091,1.452086926,0.024886476,0.94855243,1.036192298,1.750640631,1.121264935,1.407393932,1.22297132,2.054539919,1.198651314,0.885156393,0.025276897,0.862067819,1.060309649,1.888621449,0.569593012,0.358206034,0.026080675
199.9999847,0.001158543,0.579143286,0.228827089,0.141136408,0.2546736,0.779075742,1.078417659,0.611086607,0.540672123,0.017521819,0.486477315,0.10810604,0.154074922,0.114660449,0.188271701,0.081266835,0.594003975,1.315933228,1.460431933,0.026491929,0.953307748,1.033107519,1.747873545,1.123763204,1.407623887,1.238718867,2.051630259,1.201485276,0.893400073,0.02531641,0.866846561,1.071367145,1.884361506,0.568559289,0.360967904,0.028763706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
