wavelength (nm),DOMBlank1,DOMSTD13,DOM11196,DOM11311,DOM11312,DOM11313,DOM11315,DOM11316,DOM11317,DOMBlank2,DOM11528,DOM11529,DOM11530,DOM11531,DOM11532,DOM11533,DOM11534,DOM11535,DOM11536,DOMBlank3,DOM11537,DOM11548,DOM11549,DOM11550,DOM11551,DOM11552,DOM13663,DOM12011,DOM12068,DOMBlank4,DOM12094,DOM12098,DOM12099,DOM12211,DOM12389,DOM12415,DOM12417,DOM12985,DOM13062,DOMBlank5,DOM11441,DOM11593,DOM11739,DOM11752,DOM11756,DOM11787,DOM11859,DOM11894,DOM11917,DOMBlank6,DOM11918,DOM11927,DOM11959,DOM11979,DOM11984,DOMBlank7
652,0.000692536,0.003960384,0.000927422,0.000571679,0.001278265,0.000828364,0.000100423,0.00037468,0.001519547,-0.000683473,-0.000641963,0.00121692,0.000883584,-8.03E-05,0.00102326,0.000416446,0.001465259,0.001360417,0.000789333,0.000135612,0.001081775,0.001785006,0.000414503,0.000579922,0.000328436,0.000525181,0.002292132,0.001476506,0.002871685,5.05E-05,0.001623025,0.000668113,0.001398461,0.000393775,0.001682711,-0.00012263,0.002412244,0.00123221,0.001960075,0.001346109,0.000415565,0.001953913,-0.000767565,0.001414094,0.001668575,0.001204149,0.001587845,0.003304641,0.000665028,0.002124524,0.000278726,0.000276887,0.001213831,0.00147022,0.003542276,0.001781029
651.2000122,0.000675994,0.004208912,0.001118003,0.000462518,0.001326609,0.000757229,0.00056424,0.000998482,0.001861353,-0.000138934,-0.00078927,0.001352601,0.00044031,-4.27E-05,0.00113085,0.000513804,0.001616243,0.001020172,0.000716597,0.000390458,0.001235221,0.002409355,0.001167134,0.000620204,0.000543998,0.000736381,0.001961194,0.001431054,0.003694428,0.000324136,0.00218108,0.000528473,0.001885791,0.000628293,0.001905238,0.000181939,0.002929693,0.001224682,0.00178576,0.001749476,0.000792652,0.002010706,-0.000178887,0.001258352,0.001978772,0.001862497,0.001775597,0.003469338,0.000993837,0.002269024,0.000609991,0.000419011,0.001306954,0.00235925,0.003542328,0.002278418
650.4000244,0.000941327,0.004447697,0.000424763,0.000587102,0.001205914,0.000732751,0.000763038,0.001239764,0.001798497,-0.000368253,-0.000743533,0.001989512,0.000784665,0.00050126,0.001142996,0.000284917,0.001580077,0.000935205,0.000510642,0.000526814,0.001567685,0.002591238,0.00083477,0.0009275,0.000823073,0.001010105,0.00195009,0.002125669,0.004110487,0.00074556,0.001872428,0.000463839,0.001654127,0.000538944,0.00213147,0.000520827,0.002965164,0.001701344,0.001926169,0.001489545,0.00044995,0.002930996,0.000109589,0.001958177,0.002535488,0.00118982,0.001549915,0.003626059,0.000644547,0.001421782,0.000415073,0.000516862,0.001190132,0.001913195,0.00353249,0.002303165
649.5999756,0.001260014,0.00413432,0.00084434,0.000337166,0.000944051,0.000640866,0.000525596,0.001052244,0.001505104,-0.000253557,-0.000649304,0.001543862,0.001088574,1.96E-05,0.000909316,0.000484208,0.001460532,0.000891288,0.000593556,6.03E-05,0.001205706,0.001761717,0.000343669,0.00015322,0.000187299,0.001323987,0.002032422,0.00160663,0.004017258,0.000348979,0.001730919,0.000497632,0.001244411,0.000620282,0.001411965,-0.000297276,0.002810089,0.001239349,0.001317132,0.0013008,0.000159746,0.001893123,-0.000683938,0.001679853,0.001410173,0.001503,0.001730581,0.003208872,0.000505873,0.001798808,0.00068035,0.000320923,0.001008575,0.001668627,0.003579128,0.001759872
648.7999878,0.000305018,0.004167198,0.000839283,0.000888434,0.001390436,0.000975105,0.000475604,0.001135833,0.001593665,-0.000174436,-0.000118904,0.001227459,0.000597522,0.00010687,0.000709752,0.000364291,0.001251083,0.001504351,0.000656602,0.000191806,0.001318664,0.002003347,0.000824837,0.000272458,0.000814696,0.0010531,0.002078484,0.001358781,0.003657749,0.000586895,0.001790699,0.000682554,0.001688013,0.000457154,0.001375738,-0.000273839,0.002844429,0.001240699,0.001794026,0.000989141,0.000763712,0.001776013,-0.000569377,0.001651399,0.001480922,0.001828416,0.001836215,0.002674447,0.000659194,0.001657116,0.000404398,0.00040717,0.000990854,0.001671979,0.003327621,0.001751555
648,0.000411264,0.004251362,0.000788736,0.000800951,0.001309265,0.000753754,0.00035657,0.001591794,0.002116304,-0.000339026,-0.000473455,0.001559008,0.000511808,-5.72E-05,0.001203396,0.000680843,0.001418639,0.00110142,0.000959435,0.000757385,0.001216816,0.002606759,0.001438975,0.000834614,0.000815941,0.001074301,0.002459127,0.001821891,0.003965217,0.000645921,0.001425002,0.000930613,0.001942108,0.000706251,0.001845807,-0.00019524,0.002931153,0.001439858,0.002048339,0.001268217,0.001205576,0.002218805,-0.000953007,0.001448351,0.0022423,0.001751997,0.002415107,0.00316376,0.000667646,0.001770191,0.000614242,0.000755362,0.001062468,0.001496273,0.003624649,0.002027533
647.2000122,-0.00012439,0.003868545,0.000661165,0.000170467,0.000897046,0.000706148,-0.000197206,0.001074976,0.001378335,-0.000840377,-0.00143977,0.000839387,0.000270256,-0.000324903,0.000467416,-4.95E-05,0.000449458,0.000467726,-0.000361994,-4.42E-05,0.000768379,0.001278628,0.000413829,-0.000647029,-7.52E-05,0.00089134,0.001855218,0.000722846,0.002954113,0.000239408,0.000938084,0.000578626,0.001021159,0.000150812,0.001091325,-0.000701409,0.001791842,0.000653776,0.001529678,0.000460082,0.000406211,0.001083098,-0.001416291,0.000830465,0.002007456,0.001041787,0.001244749,0.002338039,0.000456687,0.001215129,-6.52E-05,0.000102754,0.000728498,0.001881683,0.003022846,0.000889031
646.4000244,4.95E-05,0.003655791,0.000441191,-9.62E-05,0.000784198,7.77E-08,-0.000490831,0.000342555,0.001384152,-0.000687194,-0.001583351,0.00073804,-2.42E-05,-0.000646771,0.000280721,-0.000554227,0.000489028,0.00062119,0.000158788,0.000244173,0.001137183,0.001502948,2.77E-05,-0.000435649,-0.000264836,0.000420514,0.001405187,0.00065808,0.002760693,-0.000194671,0.001153949,0.000270981,0.000902338,0.000102469,0.00104298,-0.000812835,0.002501511,0.000511186,0.0011145,0.000176915,0.000124115,0.001604655,-0.00114281,0.000724868,0.001290597,0.000922857,0.001276577,0.002248727,0.000183026,0.000853833,4.76E-05,-9.63E-05,0.000590653,0.000946931,0.002902643,0.000894582
645.5999756,0.000661268,0.003680304,0.000581503,-0.000311504,0.000442954,0.00052062,-0.000262353,0.000707911,0.001459415,-0.000862285,-0.001498126,0.001258482,-7.74E-05,-0.000730198,0.000614372,-0.000488349,0.000816952,0.000795712,0.00015076,-0.000453906,0.000913259,0.001288728,7.20E-05,-0.00030007,-0.000410151,0.000829713,0.001577895,0.000432951,0.002740322,0.000130666,0.00169017,-9.53E-05,0.000817782,7.55E-05,0.001005876,-0.000731646,0.002141173,0.00085111,0.001349329,0.000242049,0.000121086,0.001793116,-0.001662627,0.001016229,0.001588858,0.001214999,0.00105419,0.0024187,-6.09E-05,0.001103184,-0.000277926,-0.000430529,0.000873209,0.001433417,0.002761475,0.000748387
644.7999878,0.000480658,0.003794221,0.000325742,-0.000207297,0.000852536,0.000210323,-0.000351389,0.000713408,0.000652428,-0.001401997,-0.000850763,0.001006187,0.00026119,-0.000200001,1.12E-05,-0.000464767,0.000928823,0.000367115,-7.28E-05,-2.36E-05,0.000731039,0.001637263,0.000253653,-0.000262715,0.000203149,0.000497554,0.001596497,0.000810599,0.002671087,-0.000231773,0.000998456,8.40E-05,0.000931002,0.000256528,0.001489285,-0.000203209,0.00201752,0.000377245,0.00095448,0.000456247,-0.000445166,0.001678242,-0.001273946,0.000808498,0.001858519,0.001263077,0.001363559,0.002137557,-0.000100685,0.001400564,-0.00055764,-0.00030783,0.000586247,0.001532432,0.002874577,0.00091619
