Analyseoppdrag	Prøvenr	Tekst på flaska	Stasjonskode	Stasjonsnavn
930-8116	DOM12413	1519-3-10 Rotevatnet	1519-3-10	Rotevatnet
930-8117	DOM12414	1520-1-5 Urdvatn	1520-1-5	Urdvatn
930-8118	DOM12415	1520-1-5 Urdvatn	1520-1-5	Urdvatn
930-8119	DOM12416	1504-1-13 Svartevatnet	1504-1-13	Svartevatnet
930-8120	DOM12417	1504-1-13 Svartevatnet	1504-1-13	Svartevatnet
930-8121	DOM12418	1201-1-36 Storavatnet	1201-1-36	Storavatnet
930-8121	DOM12419	1201-1-23 Knappatjørna	1201-1-23	Knappatjørna
930-8121	DOM12420	1201-1-32 Brekkevatnet	1201-1-32	Brekkevatnet
930-8121	DOM12421	1201-1-45 Stemmevatnet	1201-1-45	Stemmevatnet
930-8122	DOM12422	1201-1-36 Storavatnet	1201-1-36	Storavatnet
930-8122	DOM12423	1201-1-23 Knappatjørna	1201-1-23	Knappatjørna
930-8122	DOM12424	1201-1-32 Brekkevatnet	1201-1-32	Brekkevatnet
930-8122	DOM12425	1201-1-45 Stemmevatnet	1201-1-45	Stemmevatnet
930-8123	DOM12426	1219-1-29 Eriksvatnet	1219-1-29	Eriksvatnet
930-8123	DOM12427	1219-1-22 Stemmevatnet	1219-1-22	Stemmevatnet
930-8123	DOM12428	1219-1-2 Grindavatnet	1219-1-2	Grindavatnet
930-8124	DOM12429	1219-1-29 Eriksvatnet	1219-1-29	Eriksvatnet
930-8124	DOM12430	1219-1-22 Stemmevatnet	1219-1-22	Stemmevatnet
930-8124	DOM12431	1219-1-2 Grindavatnet	1219-1-2	Grindavatnet
930-8125	DOM12432	1232-1-4 HOH 1324	1232-1-4	HOH 1324
930-8125	DOM12433	1232-3-18 Nordvatnet	1232-3-18	Nordvatnet
930-8125	DOM12434	1232-2-1 Inste Olavsbuvatni	1232-2-1	Inste Olavsbuvatni
930-8125	DOM12435	1232-1-3 HOH 1200	1232-1-3	HOH 1200
930-8125	DOM12436	1232-1-37 HOH 1360	1232-1-37	HOH 1360
930-8126	DOM12437	1232-1-4 HOH 1324	1232-1-4	HOH 1324
930-8126	DOM12438	1232-3-18 Nordvatnet	1232-3-18	Nordvatnet
930-8126	DOM12439	1232-2-1 Inste Olavsbuvatni	1232-2-1	Inste Olavsbuvatni
930-8126	DOM12440	1232-1-3 HOH 1200	1232-1-3	HOH 1200
930-8126	DOM12441	1232-1-37 HOH 1360	1232-1-37	HOH 1360
