Analyseoppdrag	Prøvenr	Tekst på flaska	Stasjonskode	Stasjonsnavn
930-8250	DOM12868	938-3-203 Gyvatn	938-3-203	Gyvatn
930-8251	DOM12880	941-2-23 Reinsgrovtjørnane	941-2-23	Reinsgrovtjørnane
930-8251	DOM12881	941-1-3 HOH 1110	941-1-3	HOH 1110
930-8251	DOM12882	941-1-8 HOH 1168	941-1-8	HOH 1168
930-8251	DOM12883	941-1-15 HOH 1040	941-1-15	HOH 1040
930-8251	DOM12884	941-1-18 HOH 1260	941-1-18	HOH 1260
930-8251	DOM12885	941-1-30 HOH 1221	941-1-30	HOH 1221
930-8251	DOM12886	941-2-2 HOH 1238	941-2-2	HOH 1238
930-8251	DOM12887	941-2-17 Reinevasstjørni	941-2-17	Reinevasstjørni
930-8251	DOM12888	941-2-32 HOH 1080	941-2-32	HOH 1080
930-8251	DOM12889	941-2-34 Den lange tjørni	941-2-34	Den lange tjørni
930-8251	DOM12890	941-3-5 Reinevatn	941-3-5	Reinevatn
930-8251	DOM12891	941-3-12 Breivevatnet	941-3-12	Breivevatnet
930-8251	DOM12892	941-3-13 Ormsavatnet	941-3-13	Ormsavatnet
930-8251	DOM12893	941-3-18 Urdevatnet	941-3-18	Urdevatnet
930-8251	DOM12894	941-4-2 Store Urevatn	941-4-2	Store Urevatn
930-8252	DOM12895	941-2-23 Reinsgrovtjørnane	941-2-23	Reinsgrovtjørnane
930-8252	DOM12896	941-1-3 HOH 1110	941-1-3	HOH 1110
930-8252	DOM12897	941-1-8 HOH 1168	941-1-8	HOH 1168
930-8252	DOM12898	941-1-15 HOH 1040	941-1-15	HOH 1040
930-8252	DOM12899	941-1-18 HOH 1260	941-1-18	HOH 1260
930-8252	DOM12900	941-1-30 HOH 1221	941-1-30	HOH 1221
930-8252	DOM12901	941-2-2 HOH 1238	941-2-2	HOH 1238
930-8252	DOM12902	941-2-17 Reinevasstjørni	941-2-17	Reinevasstjørni
930-8252	DOM12903	941-2-32 HOH 1080	941-2-32	HOH 1080
930-8252	DOM12904	941-2-34 Den lange tjørni	941-2-34	Den lange tjørni
930-8252	DOM12905	941-3-5 Reinevatn	941-3-5	Reinevatn
930-8252	DOM12906	941-3-12 Breivevatnet	941-3-12	Breivevatnet
930-8252	DOM12907	941-3-13 Ormsavatnet	941-3-13	Ormsavatnet
930-8252	DOM12908	941-3-18 Urdevatnet	941-3-18	Urdevatnet
930-8252	DOM12909	941-4-2 Store Urevatn	941-4-2	Store Urevatn
930-8253	DOM12910	937-2-1 Midtvatnet	937-2-1	Midtvatnet
930-8253	DOM12911	937-1-21 Øytjørn	937-1-21	Øytjørn
930-8254	DOM12912	937-2-1 Midtvatnet	937-2-1	Midtvatnet
930-8254	DOM12913	937-1-21 Øytjørn	937-1-21	Øytjørn
930-8255	DOM12916	919-2-19 Ålevatnet	919-2-19	Ålevatnet
930-8255	DOM12917	904-12 Snøløsvatn	904-12	Snøløsvatn
930-8256	DOM12914	919-2-19 Ålevatnet	919-2-19	Ålevatnet
930-8256	DOM12915	904-12 Snøløsvatn	904-12	Snøløsvatn
930-8257	DOM12918	935-1-19 Færetjørn	935-1-19	Færetjørn
930-8258	DOM12919	935-1-19 Færetjørn	935-1-19	Færetjørn
930-8259	DOM12923	901-1-55 Stavvatn	901-1-55	Stavvatn
930-8259	DOM12924	901-2-49 Mjåvatnet	901-2-49	Mjåvatnet
930-8259	DOM12925	901-3-8 Dalsvatnet	901-3-8	Dalsvatnet
930-8260	DOM12920	901-1-55 Stavvatn	901-1-55	Stavvatn
930-8260	DOM12921	901-2-49 Mjåvatnet	901-2-49	Mjåvatnet
930-8260	DOM12922	901-3-8 Dalsvatnet	901-3-8	Dalsvatnet
930-8261	DOM12926	914-1-14 Vålandstjern	914-1-14	Vålandstjern
930-8261	DOM12927	914-1-31 HOH 146	914-1-31	HOH 146
930-8261	DOM12928	914-15 Stokkebuvatnet	914-15	Stokkebuvatnet
930-8262	DOM12929	914-1-14 Vålandstjern	914-1-14	Vålandstjern
930-8262	DOM12930	914-1-31 HOH 146	914-1-31	HOH 146
930-8262	DOM12931	914-15 Stokkebuvatnet	914-15	Stokkebuvatnet
930-8263	DOM12943	940-2-9 HOH 1227	940-2-9	HOH 1227
930-8263	DOM12944	940-1-4 Urdevotni	940-1-4	Urdevotni
930-8263	DOM12945	940-1-6 HOH 1220	940-1-6	HOH 1220
930-8263	DOM12946	940-1-10 HOH 1114	940-1-10	HOH 1114
930-8263	DOM12947	940-1-11 HOH 1285	940-1-11	HOH 1285
930-8263	DOM12948	940-1-13 HOH 1238	940-1-13	HOH 1238
930-8263	DOM12949	940-1-24 HOH 1050	940-1-24	HOH 1050
930-8263	DOM12950	940-2-33 Hovdevatnet	940-2-33	Hovdevatnet
930-8263	DOM12951	940-2-51 Langevatn	940-2-51	Langevatn
930-8263	DOM12952	940-2-52 Øvre Krokvatnet	940-2-52	Øvre Krokvatnet
930-8263	DOM12953	940-2-53 Ljomsvatnet	940-2-53	Ljomsvatnet
930-8264	DOM12932	940-2-9 HOH 1227	940-2-9	HOH 1227
930-8264	DOM12933	940-1-4 Urdevotni	940-1-4	Urdevotni
930-8264	DOM12934	940-1-6 HOH 1220	940-1-6	HOH 1220
930-8264	DOM12935	940-1-10 HOH 1114	940-1-10	HOH 1114
930-8264	DOM12936	940-1-11 HOH 1285	940-1-11	HOH 1285
930-8264	DOM12937	940-1-13 HOH 1238	940-1-13	HOH 1238
930-8264	DOM12938	940-1-24 HOH 1050	940-1-24	HOH 1050
930-8264	DOM12939	940-2-33 Hovdevatnet	940-2-33	Hovdevatnet
930-8264	DOM12940	940-2-51 Langevatn	940-2-51	Langevatn
930-8264	DOM12941	940-2-52 Øvre Krokvatnet	940-2-52	Øvre Krokvatnet
930-8264	DOM12942	940-2-53 Ljomsvatnet	940-2-53	Ljomsvatnet
930-8265	DOM12958	912-2-4 Simonstadvatnet	912-2-4	Simonstadvatnet
930-8265	DOM12959	912-2-14 Midtvatnet	912-2-14	Midtvatnet
930-8265	DOM12960	912-2-18 Ljøstadvann	912-2-18	Ljøstadvann
930-8265	DOM12961	912-2-30 HOH 170	912-2-30	HOH 170
930-8266	DOM12954	912-2-4 Simonstadvatnet	912-2-4	Simonstadvatnet
930-8266	DOM12955	912-2-14 Midtvatnet	912-2-14	Midtvatnet
930-8266	DOM12956	912-2-18 Ljøstadvann	912-2-18	Ljøstadvann
930-8266	DOM12957	912-2-30 HOH 170	912-2-30	HOH 170
930-8267	DOM12962	929-1-1 Eiklitjørn	929-1-1	Eiklitjørn
930-8267	DOM12963	929-1-5 Berlitjørnane	929-1-5	Berlitjørnane
930-8267	DOM12964	929-1-20 Imetjern	929-1-20	Imetjern
930-8267	DOM12965	929-1-22 Øytjørn	929-1-22	Øytjørn
930-8267	DOM12966	929-2-8 Øvre Skålvatn	929-2-8	Øvre Skålvatn
930-8267	DOM12967	929-2-26 Lauvlivatn	929-2-26	Lauvlivatn
930-8267	DOM12968	929-605 Måvatn	929-605	Måvatn
930-8267	DOM13665	929-2-25 Stemmevatn	929-2-25	Stemmevatn
930-8268	DOM12969	929-1-1 Eiklitjørn	929-1-1	Eiklitjørn
930-8268	DOM12970	929-1-5 Berlitjørnane	929-1-5	Berlitjørnane
930-8268	DOM12971	929-1-20 Imetjern	929-1-20	Imetjern
930-8268	DOM12972	929-1-22 Øytjørn	929-1-22	Øytjørn
930-8268	DOM12973	929-2-26 Lauvlivatn	929-2-26	Lauvlivatn
930-8268	DOM12974	929-2-8 Øvre Skålvatn	929-2-8	Øvre Skålvatn
930-8268	DOM12975	929-605 Måvatn	929-605	Måvatn
930-8268	DOM13666	929-2-25 Stemmevatn	929-2-25	Stemmevatn
930-8269	DOM12976	438-1-13 Brennvoltjørna	438-1-13	Brennvoltjørna
930-8269	DOM12977	438-2-19 Søre Klettsjøen	438-2-19	Søre Klettsjøen
930-8270	DOM12978	438-1-13 Brennvoltjørna	438-1-13	Brennvoltjørna
930-8270	DOM12979	438-2-19 Søre Klettsjøen	438-2-19	Søre Klettsjøen
930-8271	DOM12980	427-3-12 Svenkebekksjøen	427-3-12	Svenkebekksjøen
930-8272	DOM12981	427-3-12 Svenkebekksjøen	427-3-12	Svenkebekksjøen
930-8273	DOM12982	434-2-21 Skjervagen	434-2-21	Skjervagen
930-8273	DOM12983	434-2-4 Store Sorksjøen	434-2-4	Store Sorksjøen
930-8273	DOM12984	434-3-23 Fjellgutusjøen	434-3-23	Fjellgutusjøen
930-8273	DOM12985	434-1-11 Abbortjørna	434-1-11	Abbortjørna
930-8273	DOM12986	434-5-1 Femunden	434-5-1	Femunden
930-8274	DOM12987	434-2-21 Skjervagen	434-2-21	Skjervagen
930-8274	DOM12988	434-2-4 Store Sorksjøen	434-2-4	Store Sorksjøen
930-8274	DOM12989	434-3-23 Fjellgutusjøen	434-3-23	Fjellgutusjøen
930-8274	DOM12990	434-1-11 Abbortjørna	434-1-11	Abbortjørna
930-8274	DOM12991	434-5-1 Femunden	434-5-1	Femunden
930-8275	DOM12992	423-1-21 Langtjernet	423-1-21	Langtjernet
930-8275	DOM12993	423-3-14 Rotnesjøen	423-3-14	Rotnesjøen
930-8276	DOM12994	423-1-21 Langtjernet	423-1-21	Langtjernet
930-8276	DOM12995	423-3-14 Rotnesjøen	423-3-14	Rotnesjøen
930-8277	DOM12996	403-3-15 Brumundsjøen	403-3-15	Brumundsjøen
930-8278	DOM12997	403-3-15 Brumundsjøen	403-3-15	Brumundsjøen
930-8279	DOM12998	402-2-13 Sætertjern	402-2-13	Sætertjern
930-8279	DOM12999	402-1-28 Eintjern	402-1-28	Eintjern
930-8279	DOM13000	402-3-9 N Hærsjøen	402-3-9	N Hærsjøen
930-8279	DOM13001	402-2-7 Kjerketjerna	402-2-7	Kjerketjerna
930-8279	DOM13002	402-2-201 Damtjenn	402-2-201	Damtjenn
930-8280	DOM13003	402-2-13 Sætertjern	402-2-13	Sætertjern
930-8280	DOM13004	402-1-28 Eintjern	402-1-28	Eintjern
930-8280	DOM13005	402-3-9 N Hærsjøen	402-3-9	N Hærsjøen
930-8280	DOM13006	402-2-7 Kjerketjerna	402-2-7	Kjerketjerna
930-8280	DOM13007	402-2-201 Damtjenn	402-2-201	Damtjenn
930-8281	DOM13008	418-2-3 Tennungen	418-2-3	Tennungen
930-8281	DOM13009	418-1-4 Vesle Otten	418-1-4	Vesle Otten
930-8281	DOM13010	418-1-14 Geittjerna	418-1-14	Geittjerna
930-8282	DOM13011	418-2-3 Tennungen	418-2-3	Tennungen
930-8282	DOM13012	418-1-4 Vesle Otten	418-1-4	Vesle Otten
930-8282	DOM13013	418-1-14 Geittjerna	418-1-14	Geittjerna
930-8283	DOM13015	441-1-12 Storflotjørna	441-1-12	Storflotjørna
930-8284	DOM13014	441-1-12 Storflotjørna	441-1-12	Storflotjørna
930-8285	DOM13016	432-1-10 Byringtjørna	432-1-10	Byringtjørna
930-8285	DOM13017	432-1-2 Langtjørna	432-1-2	Langtjørna
930-8285	DOM13018	432-4-2 Storsjøen	432-4-2	Storsjøen
930-8285	DOM13019	432-1-18 Stortjørna	432-1-18	Stortjørna
930-8285	DOM13020	432-2-23 Hundtjørna	432-2-23	Hundtjørna
930-8285	DOM13021	432-1-26 Måsabutjørna	432-1-26	Måsabutjørna
930-8285	DOM13022	432-4-1 Sølensjøen	432-4-1	Sølensjøen
930-8285	DOM13023	432-603 Arasjøen	432-603	Arasjøen
930-8286	DOM13024	432-1-10 Byringtjørna	432-1-10	Byringtjørna
930-8286	DOM13025	432-1-2 Langtjørna	432-1-2	Langtjørna
930-8286	DOM13026	432-4-2 Storsjøen	432-4-2	Storsjøen
930-8286	DOM13027	432-1-18 Stortjørna	432-1-18	Stortjørna
930-8286	DOM13028	432-2-23 Hundtjørna	432-2-23	Hundtjørna
930-8286	DOM13029	432-1-26 Måsabutjørna	432-1-26	Måsabutjørna
930-8286	DOM13030	432-4-1 Sølensjøen	432-4-1	Sølensjøen
930-8286	DOM13031	432-603 Arasjøen	432-603	Arasjøen
930-8287	DOM13032	412-1-20 Kinnlitjernet	412-1-20	Kinnlitjernet
930-8287	DOM13033	412-5-1 Mjøsa	412-5-1	Mjøsa
930-8287	DOM13034	412-1-22 Ørtjernet	412-1-22	Ørtjernet
930-8287	DOM13035	412-3-4 Sjusjøen	412-3-4	Sjusjøen
930-8287	DOM13693	412-2-206 Store Ljøsvatnet	412-2-206	Store Ljøsvatnet
930-8288	DOM13036	412-1-20 Kinnlitjernet	412-1-20	Kinnlitjernet
930-8288	DOM13037	412-5-1 Mjøsa	412-5-1	Mjøsa
930-8288	DOM13038	412-1-22 Ørtjernet	412-1-22	Ørtjernet
930-8288	DOM13039	412-3-4 Sjusjøen	412-3-4	Sjusjøen
930-8288	DOM13692	412-2-206 Store Ljøsvatnet	412-2-206	Store Ljøsvatnet
930-8289	DOM13040	430-2-1 Setningsjøen	430-2-1	Setningsjøen
930-8289	DOM13041	430-2-16 Gråtjørna	430-2-16	Gråtjørna
930-8290	DOM13042	430-2-1 Setningsjøen	430-2-1	Setningsjøen
930-8290	DOM13043	430-2-16 Gråtjørna	430-2-16	Gråtjørna
930-8291	DOM13044	419-3-2 Storbørja	402-604	Storbørja
930-8291	DOM13045	419-1-6 HOH 174	419-1-6	HOH 174
930-8291	DOM13046	419-2-8 Igletjernet	419-2-8	Igletjernet
930-8291	DOM13047	419-1-23 Svarttjernet	419-1-23	Svarttjernet
930-8291	DOM13048	419-1-25 Mjøgsjøen	419-1-25	Mjøgsjøen
930-8292	DOM13049	419-3-2 Storbørja	402-604	Storbørja
930-8292	DOM13050	419-1-6 HOH 174	419-1-6	HOH 174
930-8292	DOM13051	419-2-8 Igletjernet	419-2-8	Igletjernet
930-8292	DOM13052	419-1-23 Svarttjernet	419-1-23	Svarttjernet
930-8292	DOM13053	419-1-25 Mjøgsjøen	419-1-25	Mjøgsjøen
930-8293	DOM13054	436-1-7 HOH 1066	436-1-7	HOH 1066
930-8293	DOM13055	436-1-3 Rabbtjørna	436-1-3	Rabbtjørna
930-8294	DOM13056	436-1-7 HOH 1066	436-1-7	HOH 1066
930-8294	DOM13057	436-1-3 Rabbtjørna	436-1-3	Rabbtjørna
930-8295	DOM13058	428-2-202 Gløtsjøen	428-2-202	Gløtsjøen
930-8295	DOM13059	428-2-15 Mjølsjøen	428-2-15	Mjølsjøen
930-8296	DOM13060	428-2-202 Gløtsjøen	428-2-202	Gløtsjøen
930-8296	DOM13061	428-2-15 Mjølsjøen	428-2-15	Mjølsjøen
930-8297	DOM13062	437-1-9 Halvorstjørna	437-1-9	Halvorstjørna
930-8298	DOM13063	437-1-9 Halvorstjørna	437-1-9	Halvorstjørna
930-8299	DOM13064	426-3-1 Vålmangen	426-3-1	Vålmangen
930-8300	DOM13065	426-3-1 Vålmangen	426-3-1	Vålmangen
930-8301	DOM13066	429-601 Holmsjøen	429-601	Holmsjøen
930-8302	DOM13067	429-601 Holmsjøen	429-601	Holmsjøen
930-8303	DOM13068	418-601 Nøklevatn	418-601	Nøklevatn
930-8303	DOM13069	425-1-15 Kalbråtåsjøen	425-1-15	Kalbråtåsjøen
930-8303	DOM13070	425-2-25 Knapptjernet	425-2-25	Knapptjernet
930-8303	DOM13071	425-2-2 Kottern	425-2-2	Kottern
930-8303	DOM13072	425-2-10 Steinsjøen	425-2-10	Steinsjøen
930-8304	DOM13073	418-601 Nøklevatn	418-601	Nøklevatn
930-8304	DOM13074	425-1-15 Kalbråtåsjøen	425-1-15	Kalbråtåsjøen
930-8304	DOM13075	425-2-25 Knapptjernet	425-2-25	Knapptjernet
930-8304	DOM13076	425-2-2 Kottern	425-2-2	Kottern
930-8304	DOM13077	425-2-10 Steinsjøen	425-2-10	Steinsjøen
930-8305	DOM13078	814-2-4 Grummestadvatnet	814-2-4	Grummestadvatnet
930-8306	DOM13079	814-2-4 Grummestadvatnet	814-2-4	Grummestadvatnet
930-8307	DOM13080	817-1-34 Eldhustjenna	817-1-34	Eldhustjenna
930-8307	DOM13081	817-1-14 Teksle	817-1-14	Teksle
930-8307	DOM13082	817-1-43 Skultrevatnet	817-1-43	Skultrevatnet
930-8307	DOM13083	817-1-72 Dei store tjørnane	817-1-72	Dei store tjørnane
930-8307	DOM13084	817-1-10 Vihusvatnet	817-1-10	Vihusvatnet
930-8307	DOM13085	817-2-61 Sandvatnet	817-2-61	Sandvatnet
930-8307	DOM13086	817-1-33 Store Kyrsvatnet	817-1-33	Store Kyrsvatnet
930-8307	DOM13087	817-607 Måvatn	817-607	Måvatn
930-8307	DOM13088	817-1-38 Signevatnet	817-1-38	Signevatnet
930-8308	DOM13089	817-1-34 Eldhustjenna	817-1-34	Eldhustjenna
930-8308	DOM13090	817-1-14 Teksle	817-1-14	Teksle
930-8308	DOM13091	817-1-43 Skultrevatnet	817-1-43	Skultrevatnet
930-8308	DOM13092	817-1-72 Dei store tjørnane	817-1-72	Dei store tjørnane
930-8308	DOM13093	817-1-10 Vihusvatnet	817-1-10	Vihusvatnet
930-8308	DOM13094	817-2-61 Sandvatnet	817-2-61	Sandvatnet
930-8308	DOM13095	817-1-33 Store Kyrsvatnet	817-1-33	Store Kyrsvatnet
930-8308	DOM13096	817-607 Måvatn	817-607	Måvatn
930-8308	DOM13097	817-1-38 Signevatnet	817-1-38	Signevatnet
930-8309	DOM13098	831-2-3 Øvre Selbuvatn	831-2-3	Øvre Selbuvatn
930-8309	DOM13099	831-2-60 Kråkestøltjørn	831-2-60	Kråkestøltjørn
930-8309	DOM13100	831-4-8 Fyresvatn	831-4-8	Fyresvatn
930-8309	DOM13101	831-1-26 Snotjørnane	831-1-26	Snotjørnane
930-8309	DOM13102	831-2-29 Tussetjørn	831-2-29	Tussetjørn
930-8309	DOM13103	831-2-15 Grimvatn	831-2-15	Grimvatn
930-8309	DOM13104	831-3-32 Sandvatnet	831-3-32	Sandvatnet
930-8309	DOM13105	831-15 Mjåvatn	831-15	Mjåvatn
930-8309	DOM13106	831-501 Brårvatn	831-501	Brårvatn
930-8310	DOM13107	831-2-3 Øvre Selbuvatn	831-2-3	Øvre Selbuvatn
930-8310	DOM13108	831-2-60 Kråkestøltjørn	831-2-60	Kråkestøltjørn
930-8310	DOM13109	831-4-8 Fyresvatn	831-4-8	Fyresvatn
930-8310	DOM13110	831-1-26 Snotjørnane	831-1-26	Snotjørnane
930-8310	DOM13111	831-2-29 Tussetjørn	831-2-29	Tussetjørn
930-8310	DOM13112	831-2-15 Grimvatn	831-2-15	Grimvatn
930-8310	DOM13113	831-3-32 Sandvatnet	831-3-32	Sandvatnet
930-8310	DOM13114	831-15 Mjåvatn	831-15	Mjåvatn
930-8310	DOM13115	831-501 Brårvatn	831-501	Brårvatn
930-8311	DOM13116	827-1-23 Lysetjørn	827-1-23	Lysetjørn
930-8311	DOM13117	827-1-41 HOH 1102	827-1-41	HOH 1102
930-8311	DOM13118	827-2-32 Sjausetvatnet	827-2-32	Sjausetvatnet
930-8311	DOM13119	827-3-26 Sjåvatnet	827-3-26	Sjåvatnet
930-8311	DOM13120	827-3-23 Heddevatnet	827-3-23	Heddevatnet
930-8312	DOM13121	827-1-23 Lysetjørn	827-1-23	Lysetjørn
930-8312	DOM13122	827-1-41 HOH 1102	827-1-41	HOH 1102
930-8312	DOM13123	827-2-32 Sjausetvatnet	827-2-32	Sjausetvatnet
930-8312	DOM13124	827-3-26 Sjåvatnet	827-3-26	Sjåvatnet
930-8312	DOM13125	827-3-23 Heddevatnet	827-3-23	Heddevatnet
930-8313	DOM13126	815-3-8 Leivatnet	815-3-8	Leivatnet
930-8313	DOM13127	815-2-27 Lønstravatnet	815-2-27	Lønstravatnet
930-8313	DOM13128	815-1-29 HOH 50	815-1-29	HOH 50
930-8314	DOM13129	815-3-8 Leivatnet	815-3-8	Leivatnet
930-8314	DOM13130	815-2-27 Lønstravatnet	815-2-27	Lønstravatnet
930-8314	DOM13131	815-1-29 HOH 50	815-1-29	HOH 50
930-8315	DOM13132	829-2-59 Bjørntjørn	829-2-59	Bjørntjørn
930-8315	DOM13133	829-1-13 Mjåvatn	829-1-13	Mjåvatn
930-8315	DOM13134	829-4-6 Kviteseidvatnet	829-4-6	Kviteseidvatnet
930-8315	DOM13135	829-1-46 Stestøyltjørni	829-1-46	Stestøyltjørni
930-8316	DOM13136	829-2-59 Bjørntjørn	829-2-59	Bjørntjørn
930-8316	DOM13137	829-1-13 Mjåvatn	829-1-13	Mjåvatn
930-8316	DOM13138	829-4-6 Kviteseidvatnet	829-4-6	Kviteseidvatnet
930-8316	DOM13139	829-1-46 Stestøyltjørni	829-1-46	Stestøyltjørni
930-8317	DOM13140	830-1-24 Store Kleivtjørn	830-1-24	Store Kleivtjørn
930-8317	DOM13141	830-26 Måvatn	830-26	Måvatn
930-8318	DOM13142	830-1-24 Store Kleivtjørn	830-1-24	Store Kleivtjørn
930-8318	DOM13143	830-26 Måvatn	830-26	Måvatn
930-8320	DOM13144	819-2-14 Bøvatnet	819-2-14	Bøvatnet
930-8320	DOM13145	819-3-17 Store Børten	819-3-17	Store Børten
930-8320	DOM13146	819-2-13 Prestevatnet	819-2-13	Prestevatnet
930-8321	DOM13147	819-2-14 Bøvatnet	819-2-14	Bøvatnet
930-8321	DOM13148	819-3-17 Store Børten	819-3-17	Store Børten
930-8321	DOM13149	819-2-13 Prestevatnet	819-2-13	Prestevatnet
930-8322	DOM13154	807-4-1 Heddalsvatnet	807-4-1	Heddalsvatnet
930-8322	DOM13155	807-1-36 Vassenden	807-1-36	Vassenden
930-8322	DOM13156	807-3-1 Sønstevatn	807-3-1	Sønstevatn
930-8322	DOM13157	807-1-71 Surtetjørn	807-1-71	Surtetjørn
930-8323	DOM13158	807-4-1 Heddalsvatnet	807-4-1	Heddalsvatnet
930-8323	DOM13159	807-1-36 Vassenden	807-1-36	Vassenden
930-8323	DOM13160	807-3-1 Sønstevatn	807-3-1	Sønstevatn
930-8323	DOM13161	807-1-71 Surtetjørn	807-1-71	Surtetjørn
930-8324	DOM13162	822-2-11 Børtevatn	822-2-11	Børtevatn
930-8325	DOM13163	822-2-11 Børtevatn	822-2-11	Børtevatn
930-8326	DOM13164	828-2-25 Grotvatni	828-2-25	Grotvatni
930-8326	DOM13165	828-1-22 Sandtjørni	828-1-22	Sandtjørni
930-8326	DOM13166	828-603 Pålbuvatnet	828-603	Pålbuvatnet
930-8327	DOM13167	828-2-25 Grotvatni	828-2-25	Grotvatni
930-8327	DOM13168	828-1-22 Sandtjørni	828-1-22	Sandtjørni
930-8327	DOM13169	828-603 Pålbuvatnet	828-603	Pålbuvatnet
930-8328	DOM13170	806-2-23 Holmevatn	806-2-23	Holmevatn
930-8329	DOM13171	806-2-23 Holmevatn	806-2-23	Holmevatn
930-8330	DOM13172	826-2-24 Longetjørn	826-2-24	Longetjørn
930-8330	DOM13173	826-1-16 Svarttjørn	826-1-16	Svarttjørn
930-8330	DOM13174	826-1-28 Storsteinvatnet	826-1-28	Storsteinvatnet
930-8330	DOM13175	826-1-30 Ormetjørn	826-1-30	Ormetjørn
930-8330	DOM13176	826-1-35 Langtjørn	826-1-35	Langtjørn
930-8330	DOM13177	826-1-7 Vesle Flottetjørn	826-1-7	Vesle Flottetjørn
930-8330	DOM13178	826-1-39 Torjustjørn	826-1-39	Torjustjørn
930-8330	DOM13179	826-1-17 HOH 1162	826-1-17	HOH 1162
930-8330	DOM13180	826-1-20 Grysletjørn	826-1-20	Grysletjørn
930-8330	DOM13181	826-1-25 HOH 1335	826-1-25	HOH 1335
930-8330	DOM13182	826-2-6 Viktjørn	826-2-6	Viktjørn
930-8330	DOM13183	826-605 Sandvatn	826-605	Sandvatn
930-8330	DOM13184	826-1-18 Fikstjørn	826-1-18	Fikstjørn
930-8331	DOM13185	826-2-24 Longetjørn	826-2-24	Longetjørn
930-8331	DOM13186	826-1-16 Svarttjørn	826-1-16	Svarttjørn
930-8331	DOM13187	826-1-28 Storsteinvatnet	826-1-28	Storsteinvatnet
930-8331	DOM13188	826-1-30 Ormetjørn	826-1-30	Ormetjørn
930-8331	DOM13189	826-1-35 Langtjørn	826-1-35	Langtjørn
930-8331	DOM13190	826-1-7 Vesle Flottetjørn	826-1-7	Vesle Flottetjørn
930-8331	DOM13191	826-1-39 Torjustjørn	826-1-39	Torjustjørn
930-8331	DOM13192	826-1-17 HOH 1162	826-1-17	HOH 1162
930-8331	DOM13193	826-1-20 Grysletjørn	826-1-20	Grysletjørn
930-8331	DOM13194	826-1-25 HOH 1335	826-1-25	HOH 1335
930-8331	DOM13195	826-2-6 Viktjørn	826-2-6	Viktjørn
930-8331	DOM13196	826-605 Sandvatn	826-605	Sandvatn
930-8331	DOM13197	826-1-18 Fikstjørn	826-1-18	Fikstjørn
930-8333	DOM13204	833-2-21 Folurdkaldevatn	833-2-21	Folurdkaldevatn
930-8333	DOM13205	833-2-30 Kjønnesviksvatnet	833-2-30	Kjønnesviksvatnet
930-8333	DOM13206	833-2-16 Kambetjørn	833-2-16	Kambetjørn
930-8333	DOM13207	833-3-3 Åmlivatn	833-3-3	Åmlivatn
930-8333	DOM13208	833-1-21 Grunntjørn	833-1-21	Grunntjørn
930-8334	DOM13209	833-2-21 Folurdkaldevatn	833-2-21	Folurdkaldevatn
930-8334	DOM13210	833-2-30 Kjønnesviksvatnet	833-2-30	Kjønnesviksvatnet
930-8334	DOM13211	833-2-16 Kambetjørn	833-2-16	Kambetjørn
930-8334	DOM13212	833-3-3 Åmlivatn	833-3-3	Åmlivatn
930-8334	DOM13213	833-1-21 Grunntjørn	833-1-21	Grunntjørn
930-8335	DOM13214	834-2-10 Straumstøltjørn	834-2-10	Straumstøltjørn
930-8335	DOM13215	834-4-7 Holmavatnet	834-4-7	Holmavatnet
930-8335	DOM13216	834-2-2 Midtre Supsavatn	834-2-2	Midtre Supsavatn
930-8335	DOM13217	834-1-12 Hemletjørnane	834-1-12	Hemletjørnane
930-8335	DOM13218	834-604 Vråsjåen	834-604	Vråsjåen
930-8335	DOM13219	834-2-5 Vonevatn	834-2-5	Vonevatn
930-8335	DOM13220	834-2-12 Torstjørni	834-2-12	Torstjørni
930-8335	DOM13221	834-2-18 Såtetjørn	834-2-18	Såtetjørn
930-8335	DOM13222	834-2-28 HOH 1367	834-2-28	HOH 1367
930-8335	DOM13223	834-1-6 HOH 1387	834-1-6	HOH 1387
930-8335	DOM13224	834-1-32 HOH 1394	834-1-32	HOH 1394
930-8335	DOM13225	834-2-26 Vikvatnet	834-2-26	Vikvatnet
930-8335	DOM13226	834-2-8 Fetveittjørn	834-2-8	Fetveittjørn
930-8335	DOM13227	834-3-14 Lognvikvatn	834-3-14	Lognvikvatn
930-8335	DOM13228	834-1-2 Langetjørn	834-1-2	Langetjørn
930-8335	DOM13229	834-4-5 Totak	834-4-5	Totak
930-8336	DOM13230	834-2-10 Straumstøltjørn	834-2-10	Straumstøltjørn
930-8336	DOM13231	834-4-7 Holmavatnet	834-4-7	Holmavatnet
930-8336	DOM13232	834-2-2 Midtre Supsavatn	834-2-2	Midtre Supsavatn
930-8336	DOM13233	834-1-12 Hemletjørnane	834-1-12	Hemletjørnane
930-8336	DOM13234	834-604 Vråsjåen	834-604	Vråsjåen
930-8336	DOM13235	834-2-5 Vonevatn	834-2-5	Vonevatn
930-8336	DOM13236	834-2-12 Torstjørni	834-2-12	Torstjørni
930-8336	DOM13237	834-2-18 Såtetjørn	834-2-18	Såtetjørn
930-8336	DOM13238	834-2-28 HOH 1367	834-2-28	HOH 1367
930-8336	DOM13239	834-1-6 HOH 1387	834-1-6	HOH 1387
930-8336	DOM13240	834-1-32 HOH 1394	834-1-32	HOH 1394
930-8336	DOM13241	834-2-26 Vikvatnet	834-2-26	Vikvatnet
