wavelength (nm),DOMBlank1,DOMSTD17,DOM12005,DOM12055,DOM12100,DOM12209,DOM12305,DOM12329,DOM12344,DOMBlank2,DOM12439,DOM12440,DOM12445,DOM12505,DOM12509,DOM12541,DOM13042,DOM11951,DOM12452,DOMBlank4,DOM12472,DOM12481,DOM12482,DOM12484,DOMBlank5
860,-0.006562633,-0.012444121,-0.01362248,-0.019323954,-0.015411629,-0.018662971,-0.022083225,-0.024214428,-0.024001086,-0.023145691,-0.02271343,-0.024266327,-0.024863161,-0.027067006,-0.024489962,-0.023571245,-0.029051509,-0.025172729,-0.024176039,-0.027579311,-0.027407378,-0.026010882,-0.026071537,-0.02641537,-0.026059933
859.2000122,-0.007831076,-0.00525334,-0.011986264,-0.014108136,-0.014721038,-0.015017262,-0.01911211,-0.021696743,-0.020453742,-0.022820873,-0.022114223,-0.024374316,-0.025617192,-0.022907564,-0.023502294,-0.025033906,-0.024573335,-0.024676798,-0.021749632,-0.025175953,-0.026133599,-0.025186799,-0.023607532,-0.025549492,-0.025408104
858.4000244,-0.003400956,-0.008509959,-0.011562962,-0.012188372,-0.015719168,-0.019550147,-0.019441793,-0.017698083,-0.018379396,-0.020035552,-0.018726544,-0.023356019,-0.021209888,-0.022562318,-0.019475803,-0.022341475,-0.024676455,-0.022821905,-0.02324817,-0.02595841,-0.022708025,-0.02207117,-0.021514729,-0.026300823,-0.025629003
857.5999756,-1.77E-05,-0.005840702,-0.006496078,-0.011666546,-0.012730188,-0.014527014,-0.014250947,-0.016677942,-0.016380906,-0.016145723,-0.016744349,-0.016972637,-0.021692803,-0.021780754,-0.021794884,-0.018057795,-0.019489959,-0.021247851,-0.020403212,-0.022135625,-0.021548921,-0.022189494,-0.022321558,-0.020192388,-0.02090661
856.7999878,0.000170985,-0.003495309,-0.004890129,-0.012642899,-0.010553808,-0.013565881,-0.017397864,-0.015419275,-0.013628853,-0.020004207,-0.018993836,-0.019968014,-0.021323817,-0.01938273,-0.021549365,-0.019440111,-0.019693702,-0.021138195,-0.021780064,-0.023154182,-0.024182698,-0.021173205,-0.019466348,-0.018740527,-0.019157045
856,-0.002643953,-0.007970577,-0.010876316,-0.012424952,-0.013841833,-0.016850939,-0.02019565,-0.020029372,-0.020695142,-0.020269923,-0.021337617,-0.022966543,-0.025696788,-0.022804318,-0.02195734,-0.022552093,-0.023297338,-0.021464273,-0.024983907,-0.024946025,-0.024746589,-0.024991825,-0.023795139,-0.026187219,-0.024771627
855.2000122,-0.003264861,-0.008094586,-0.009702825,-0.010165622,-0.012339464,-0.016445065,-0.01676283,-0.017982053,-0.017910866,-0.019736053,-0.017927211,-0.018910574,-0.019987693,-0.01897892,-0.022410905,-0.019653674,-0.019789776,-0.020229355,-0.019701619,-0.021141499,-0.02399658,-0.019382581,-0.021759234,-0.020280743,-0.020851891
854.4000244,-0.003553903,-0.009127156,-0.011002022,-0.015498314,-0.01563867,-0.016311601,-0.019516392,-0.018107854,-0.019024163,-0.024236217,-0.019431101,-0.022538921,-0.021516453,-0.02365269,-0.021198006,-0.022781082,-0.022031704,-0.023540253,-0.019781861,-0.024730058,-0.02412403,-0.023416262,-0.022386665,-0.021712305,-0.023367254
853.5999756,-0.007509351,-0.005904292,-0.007916642,-0.012724807,-0.014026638,-0.01386495,-0.019326331,-0.017454911,-0.020114398,-0.020259645,-0.01965699,-0.019922867,-0.020805357,-0.021186715,-0.020620944,-0.02242133,-0.023046086,-0.020634867,-0.022740355,-0.022903979,-0.020821888,-0.02145575,-0.02084069,-0.024500726,-0.023821801
852.7999878,-0.005951174,-0.007555603,-0.010915848,-0.014911623,-0.01215837,-0.016144576,-0.018082179,-0.015582384,-0.018541198,-0.020766515,-0.021080149,-0.023796268,-0.022041397,-0.023426319,-0.02214138,-0.022627782,-0.021321796,-0.022612104,-0.02254482,-0.022847055,-0.021870309,-0.02258247,-0.02141672,-0.023269074,-0.024694992
