wavelength (nm),DOMBlank1,DOMSTD27,DOM13465F,DOM12770,DOM12978,DOM12984,DOM13002,DOM13018,DOM13019,DOMBlank2,DOM13051,DOM13451,DOM13453,DOM13154,DOM13469,DOM13470,DOM13471,DOM13617,DOM13260,DOMBlank3,DOM13264,DOM13316,DOM13333,DOM13416,DOM13538,DOM13542,DOM13543,DOM13545,DOM13546,DOMBlank4,DOM13551,DOM13552,DOM13553,DOM13558,DOM13559,DOMBlank5
875.2000122,-0.002443891,-0.007515355,-0.00938441,-0.012840379,-0.013573007,-0.020448063,-0.014580234,-0.018421428,-0.02023647,-0.017004101,-0.014730296,-0.013223772,-0.02334238,-0.023873013,-0.019132076,-0.02364151,-0.016959593,-0.020156361,-0.018613571,-0.019975578,-0.018259531,-0.025985379,-0.022883547,-0.025533335,-0.02058663,-0.024486585,-0.027649174,-0.02536645,-0.023369413,-0.02291218,-0.02541572,-0.0213285,-0.029818803,-0.019212276,-0.023097292,-0.01815746
874.4000244,0.000573857,-0.006158152,-0.00017899,-0.010063956,-0.008596458,-0.009812218,-0.008910938,-0.01789169,-0.009008158,-0.015738491,-0.015462893,-0.013215736,-0.017389905,-0.019475605,-0.021802664,-0.014186513,-0.012514146,-0.014091347,-0.015198768,-0.018424306,-0.021685464,-0.020370759,-0.019931324,-0.017523536,-0.018074283,-0.023402233,-0.020444753,-0.022210106,-0.014787895,-0.023573942,-0.017398063,-0.023047511,-0.015979731,-0.018592887,-0.013328517,-0.020493202
873.5999756,-0.002995061,-0.006643707,-0.003154422,-0.007877547,-0.016749978,-0.016708981,-0.017957067,-0.017622875,-0.014679447,-0.018349223,-0.022141824,-0.027511869,-0.021663498,-0.026654018,-0.01612163,-0.022047451,-0.022540493,-0.021096425,-0.021165315,-0.019907391,-0.024342451,-0.02246833,-0.022794297,-0.026933409,-0.026845668,-0.018140279,-0.023547316,-0.028318362,-0.024356499,-0.029600848,-0.01981248,-0.028624458,-0.023575855,-0.023588555,-0.028146721,-0.027280694
872.7999878,-0.006200822,-0.008206315,-0.012453781,-0.013621327,-0.014766628,-0.01791971,-0.018093353,-0.015704388,-0.020134415,-0.020313155,-0.023806853,-0.018490396,-0.026104983,-0.023343999,-0.021005081,-0.022371717,-0.022204351,-0.026176691,-0.022796508,-0.020424502,-0.022425558,-0.024525143,-0.028018262,-0.02567395,-0.034288555,-0.024538452,-0.019332126,-0.023086049,-0.022286197,-0.018243596,-0.025759635,-0.021959998,-0.020162588,-0.022460366,-0.021659017,-0.024153903
872,-0.000117972,-0.007366139,-0.006208783,-0.006949618,-0.004413524,-0.014866749,-0.009565702,-0.015946347,-0.012865711,-0.011326971,-0.020279754,-0.018944474,-0.014472035,-0.018419145,-0.017756283,-0.015639368,-0.015265852,-0.017057467,-0.017532436,-0.021281671,-0.021219898,-0.017481416,-0.02280982,-0.023234526,-0.018565457,-0.018058987,-0.010087478,-0.019011576,-0.02381048,-0.022247046,-0.016261984,-0.024013285,-0.021957094,-0.020027393,-0.018268019,-0.021084096
871.2000122,-0.014457312,-0.012377406,-0.016890729,-0.020436702,-0.014500326,-0.015392992,-0.02521567,-0.020245513,-0.026235178,-0.027105628,-0.024385769,-0.028948309,-0.027797459,-0.024669997,-0.024601955,-0.018565457,-0.027430028,-0.028066214,-0.027452433,-0.033196252,-0.030962583,-0.029349154,-0.032210954,-0.026567243,-0.025497796,-0.032661002,-0.031126561,-0.028128671,-0.032863364,-0.030540111,-0.030700678,-0.033774339,-0.031107236,-0.02863265,-0.035998825,-0.028357308
870.4000244,-0.007820957,-0.011683984,-0.009702977,-0.010481596,-0.018773651,-0.019515699,-0.018710231,-0.024773046,-0.025110383,-0.022498416,-0.030245068,-0.028358182,-0.019753417,-0.025913199,-0.025316196,-0.026774656,-0.027761327,-0.025021443,-0.02097637,-0.025297539,-0.022047795,-0.020756003,-0.026121948,-0.024748007,-0.026111467,-0.026519855,-0.02360915,-0.026466375,-0.024383176,-0.029435858,-0.032246668,-0.030647999,-0.023355331,-0.027482711,-0.029760361,-0.02839921
869.5999756,-0.002232972,-0.005675476,0.000440155,-0.002527952,-0.012258188,-0.013481722,-0.012908079,-0.02015374,-0.011512699,-0.016510163,-0.01666783,-0.018172603,-0.018204426,-0.014460968,-0.013990596,-0.024719838,-0.018570367,-0.016296193,-0.02017954,-0.027126445,-0.024139654,-0.022682277,-0.01931108,-0.011263716,-0.020794796,-0.023196099,-0.016758846,-0.017739138,-0.024933657,-0.020869605,-0.022664048,-0.019919308,-0.021472355,-0.016063308,-0.015372854,-0.015379899
868.7999878,-0.006353296,-0.005158141,-0.005770767,-0.008800556,-0.015653502,-0.01155419,-0.01529899,-0.018384557,-0.020005492,-0.019257149,-0.020669177,-0.019834789,-0.019996742,-0.023661416,-0.021203281,-0.021712847,-0.021513546,-0.022777202,-0.021560596,-0.020424107,-0.024367562,-0.021460233,-0.025108917,-0.021373795,-0.025251674,-0.022739127,-0.027850777,-0.022716379,-0.024764391,-0.017821234,-0.022137789,-0.023209792,-0.025273068,-0.020131797,-0.02110471,-0.018506572
868,0.001666418,-0.002911708,-0.0064389,-0.007322717,-0.007858329,-0.009139526,-0.016894015,-0.014335007,-0.01145885,-0.016014861,-0.012987526,-0.01342887,-0.021289459,-0.012230303,-0.016269863,-0.018107854,-0.012501621,-0.016571013,-0.015565301,-0.018483004,-0.016953817,-0.022535283,-0.014388352,-0.016669821,-0.017764384,-0.014796551,-0.019395009,-0.02387017,-0.016846256,-0.017833408,-0.020805258,-0.016190715,-0.025914224,-0.018992299,-0.019343514,-0.017656082
867.2000122,-0.006664509,-0.004552898,-0.011687512,-0.01731335,-0.01356006,-0.016479358,-0.013617865,-0.019216189,-0.017965959,-0.018721091,-0.021424802,-0.012586524,-0.016441874,-0.018425746,-0.019031843,-0.024015343,-0.021477528,-0.026399098,-0.019440111,-0.018898182,-0.022239914,-0.019915946,-0.023516566,-0.022654859,-0.021584539,-0.020138023,-0.022262393,-0.024269657,-0.030209139,-0.025444675,-0.021913778,-0.022284083,-0.030032061,-0.028531872,-0.021071125,-0.02591081
866.4000244,-0.000533648,-0.012060593,-0.005719573,-0.012178506,-0.013833157,-0.015248307,-0.012876417,-0.01719334,-0.017906444,-0.021770855,-0.019472981,-0.015382248,-0.015658995,-0.015161823,-0.01673618,-0.021346835,-0.017687945,-0.015929678,-0.02293919,-0.013906368,-0.020957476,-0.022147186,-0.023286149,-0.018737454,-0.025681905,-0.016518485,-0.023648767,-0.021499949,-0.0231425,-0.021830728,-0.020521352,-0.02231423,-0.024277931,-0.024341032,-0.015621191,-0.016409472
865.5999756,-0.006010204,-0.012757235,-0.012342182,-0.011818121,-0.023215387,-0.023606993,-0.021926969,-0.022201695,-0.028254284,-0.020802001,-0.024708051,-0.028246909,-0.022545213,-0.026526285,-0.025908371,-0.032168649,-0.025640374,-0.024132062,-0.02919583,-0.02946827,-0.026871024,-0.026407868,-0.02714619,-0.026195506,-0.026131015,-0.028784912,-0.032365616,-0.028647335,-0.026638778,-0.029646788,-0.030289395,-0.024097584,-0.024754364,-0.025152208,-0.027829703,-0.028740965
864.7999878,-0.005068498,-0.011034628,-0.010976631,-0.014725491,-0.015735295,-0.015668983,-0.018626964,-0.019093532,-0.020061901,-0.017824514,-0.018443162,-0.017566098,-0.02564867,-0.015716622,-0.017924329,-0.023320595,-0.023387024,-0.020551918,-0.026569728,-0.022310887,-0.021127099,-0.02642794,-0.022945918,-0.019818021,-0.021351419,-0.026140863,-0.02269014,-0.024553619,-0.024676798,-0.024123786,-0.024852747,-0.024206888,-0.023444172,-0.028640697,-0.02487734,-0.024942603
864,-0.005935905,-0.010474673,-0.01345497,-0.014424762,-0.017851792,-0.016891375,-0.019467734,-0.020786306,-0.020648839,-0.025191244,-0.01870661,-0.027807608,-0.024737738,-0.025913199,-0.023582229,-0.021931745,-0.023582965,-0.027943265,-0.026610244,-0.028351683,-0.025134129,-0.025306575,-0.027085928,-0.024044538,-0.027653836,-0.023149814,-0.026564905,-0.027414475,-0.029129075,-0.022680264,-0.024374023,-0.026639994,-0.025308089,-0.022302428,-0.025676195,-0.025090789
863.2000122,-0.005755747,-0.010833648,-0.007863159,-0.018316763,-0.015511152,-0.019350793,-0.016372429,-0.025957825,-0.023380989,-0.02392358,-0.021254703,-0.025299443,-0.027698915,-0.024488494,-0.024315186,-0.023977179,-0.020472955,-0.025391892,-0.024968313,-0.026542552,-0.028965261,-0.025836766,-0.025458248,-0.024611298,-0.02534169,-0.024034299,-0.026188925,-0.030482102,-0.027342388,-0.022095034,-0.027690414,-0.023217399,-0.02529153,-0.028328354,-0.0254707,-0.027186459
862.4000244,-0.005437337,-0.005890093,-0.008999385,-0.011762748,-0.015130725,-0.013682233,-0.015244208,-0.013839777,-0.020543227,-0.017533928,-0.017600155,-0.022455597,-0.021350581,-0.025443602,-0.017115602,-0.020468954,-0.020422971,-0.017492656,-0.026412789,-0.019359309,-0.022646161,-0.02034265,-0.022871317,-0.016521875,-0.023742547,-0.022098331,-0.023716813,-0.025981039,-0.022460908,-0.022521028,-0.020298876,-0.025343644,-0.020525994,-0.021061951,-0.024783364,-0.02155705
861.5999756,-0.002065131,-0.006762795,-0.009051614,-0.010784512,-0.019001566,-0.015504808,-0.016629513,-0.017680537,-0.018549731,-0.021878531,-0.024031557,-0.019161155,-0.024284245,-0.022368817,-0.018626466,-0.0236999,-0.023244342,-0.018613026,-0.023638275,-0.024091363,-0.016516492,-0.024529301,-0.022470297,-0.019608248,-0.022566052,-0.022146547,-0.023468355,-0.026358223,-0.024333248,-0.023604345,-0.024028275,-0.020225104,-0.023958514,-0.023876639,-0.020848092,-0.019435754
860.7999878,-0.002812444,-0.007053951,-0.007015695,-0.010845465,-0.013110261,-0.0139733,-0.010273281,-0.017710559,-0.017562568,-0.019432982,-0.018488165,-0.015156424,-0.020523129,-0.017463515,-0.016767364,-0.020612996,-0.016565531,-0.018998742,-0.019657832,-0.025198964,-0.019863326,-0.022637609,-0.018150309,-0.021657834,-0.023477184,-0.017306086,-0.021778783,-0.021929923,-0.021461908,-0.022450436,-0.023249984,-0.022219157,-0.024744291,-0.023811607,-0.017706284,-0.017441683
860,-0.001790048,-0.01031838,-0.01284626,-0.017180849,-0.015997646,-0.016504679,-0.014861595,-0.026200866,-0.021204811,-0.017266285,-0.026679968,-0.024430553,-0.021604439,-0.018586637,-0.019957878,-0.022612596,-0.026048915,-0.022772288,-0.02692611,-0.023305237,-0.031108584,-0.022884874,-0.027994964,-0.022748953,-0.02691482,-0.026078997,-0.022328148,-0.026198089,-0.027902583,-0.026730163,-0.026986834,-0.028582336,-0.028333494,-0.021775976,-0.023600128,-0.024482522
