wavelength (nm),DOMBlank1,DOMSTD29,DOM13163,DOM12719,DOM13123,DOM13010,DOM11895,DOM12258,DOM12660,DOMBlank2,DOM12940,DOM12994,DOM12998,DOM12999,DOM13000,DOM13023,DOM13071,DOM13439,DOM13440,DOM13449,DOM13459,DOM11931,DOM12157,DOMBlank3
864.7999878,-0.006089494,-0.009284283,-0.005993405,-0.011662009,-0.013613098,-0.011375541,-0.018016921,-0.018035894,-0.015376152,-0.01611674,-0.016963625,-0.017520502,-0.018211626,-0.017279668,-0.016435394,-0.016418943,-0.014860394,-0.019006075,-0.017933967,-0.014768629,-0.01757982,-0.022689255,-0.018742809,-0.0180867
864,-0.003941064,-0.003996931,-0.009036656,-0.008912003,-0.013033098,-0.010393854,-0.014738954,-0.012800619,-0.009280939,-0.015767599,-0.016770003,-0.016770352,-0.01246686,-0.008610416,-0.013577925,-0.016905069,-0.018032169,-0.016833309,-0.019072128,-0.016057223,-0.018257646,-0.017024662,-0.015511503,-0.018291995
863.2000122,-0.005445466,-0.007643919,-0.015861798,-0.015650207,-0.016492018,-0.011365253,-0.019083871,-0.017929943,-0.020371648,-0.021021949,-0.021237941,-0.014154342,-0.02322422,-0.019153973,-0.023722939,-0.019635316,-0.016070444,-0.025528893,-0.017529452,-0.022741681,-0.018305546,-0.025249572,-0.018034255,-0.020941788
862.4000244,-0.006448234,-0.006171065,-0.010926855,-0.016706839,-0.014509089,-0.007241311,-0.017189806,-0.015249607,-0.017033922,-0.017737499,-0.014832127,-0.013695426,-0.018347634,-0.014030198,-0.018352348,-0.02064484,-0.014801755,-0.015247207,-0.016346654,-0.016196501,-0.014796501,-0.017200952,-0.016635641,-0.017272603
861.5999756,-0.002212266,-0.0082881,-0.01354586,-0.010203298,-0.017147753,-0.013165865,-0.014406582,-0.016529599,-0.017296683,-0.012152177,-0.019477881,-0.014213771,-0.017043529,-0.018801564,-0.017542928,-0.012062959,-0.015307586,-0.015960868,-0.016230963,-0.017844241,-0.017288722,-0.018184816,-0.018176723,-0.017851098
860.7999878,-0.005296253,-0.002233487,-0.008265649,-0.008211344,-0.011639329,-0.01156034,-0.015693102,-0.012596683,-0.013050078,-0.016693039,-0.013675862,-0.010279855,-0.011018628,-0.011017719,-0.01692917,-0.021155601,-0.017758371,-0.015840733,-0.013466464,-0.011391931,-0.013167975,-0.020213392,-0.014606316,-0.017088426
860,-0.005816795,-0.005568869,-0.010849353,-0.012786443,-0.011618512,-0.014101271,-0.015699994,-0.016105017,-0.016409721,-0.014344375,-0.019583406,-0.016617605,-0.014128183,-0.016945949,-0.014944788,-0.015200168,-0.016277393,-0.017151387,-0.015300289,-0.020998372,-0.017756881,-0.017246084,-0.020916628,-0.014260816
859.2000122,-0.009299942,-0.008015712,-0.010312617,-0.011050224,-0.014090094,-0.010161677,-0.01798995,-0.013290006,-0.016957004,-0.017181048,-0.017418604,-0.018264793,-0.019028822,-0.016324865,-0.022367144,-0.017724724,-0.019196376,-0.02076696,-0.017351555,-0.017514585,-0.019272255,-0.022694267,-0.018726347,-0.017382147
858.4000244,-0.008913271,-0.004322754,-0.012389531,-0.012838118,-0.012399494,-0.012275652,-0.02097415,-0.017539745,-0.015807237,-0.012928232,-0.024542952,-0.019467635,-0.016923942,-0.016732842,-0.022058966,-0.019353021,-0.017515481,-0.01958687,-0.01907411,-0.01957722,-0.020134861,-0.02133885,-0.020495573,-0.017190801
857.5999756,-0.002125516,-0.006364113,-0.008970531,-0.012512486,-0.014922878,-0.014440237,-0.012060392,-0.016568521,-0.016944705,-0.018387634,-0.01635837,-0.017272105,-0.017473312,-0.01764594,-0.015140724,-0.014854741,-0.01320961,-0.019743821,-0.015971897,-0.01812573,-0.017962828,-0.01916175,-0.018528797,-0.021188047
856.7999878,-0.009328065,-0.013432634,-0.016347202,-0.016647849,-0.016137941,-0.022701491,-0.017987715,-0.019794129,-0.023172,-0.021616558,-0.024536641,-0.019954417,-0.023663867,-0.017774871,-0.022589054,-0.022607779,-0.024239741,-0.025705865,-0.020699389,-0.022934919,-0.020321108,-0.022760743,-0.02505409,-0.021594735
856,-0.002222413,-0.008170752,-0.011198887,-0.011314613,-0.016012317,-0.014879055,-0.01675785,-0.015893394,-0.018126573,-0.014989404,-0.016491072,-0.017613925,-0.022256885,-0.016682427,-0.019051714,-0.015935617,-0.020154186,-0.018755751,-0.017867295,-0.015878471,-0.01757808,-0.019459862,-0.018573839,-0.019962674
855.2000122,-0.00757112,-0.006604804,-0.013392074,-0.011629853,-0.009065456,-0.015760709,-0.018538371,-0.012537183,-0.013662668,-0.016018653,-0.016326161,-0.014099015,-0.016101675,-0.016672911,-0.016673509,-0.018815594,-0.016691444,-0.017772535,-0.021561582,-0.018105073,-0.018426241,-0.018847818,-0.019651003,-0.018073687
854.4000244,-0.004189357,-0.004930825,-0.008741295,-0.008974841,-0.006924346,-0.006797607,-0.012947026,-0.012641641,-0.013868711,-0.014721588,-0.016710525,-0.016528502,-0.015283645,-0.011840994,-0.016307462,-0.013174303,-0.013003253,-0.017076829,-0.015040617,-0.013947832,-0.013150747,-0.019315636,-0.016073039,-0.017777603
853.5999756,-0.008527525,-0.009440644,-0.013254355,-0.008852656,-0.016392073,-0.015521044,-0.018152444,-0.013885509,-0.01657779,-0.016008724,-0.01417123,-0.015651455,-0.016674357,-0.015052118,-0.017047163,-0.017720599,-0.01718881,-0.018911267,-0.018759569,-0.017127996,-0.012888177,-0.019434515,-0.022453975,-0.019485652
852.7999878,-0.009263201,-0.012513593,-0.016370885,-0.011935596,-0.017449092,-0.013791081,-0.018473776,-0.017730689,-0.017904012,-0.019463081,-0.021241393,-0.020727573,-0.021247949,-0.019175719,-0.024657378,-0.018421181,-0.017079119,-0.021996958,-0.019921878,-0.021220835,-0.020989394,-0.02296281,-0.022758827,-0.020685369
852,-0.006316714,-0.006721607,-0.012548802,-0.010205524,-0.019842949,-0.016189419,-0.019271858,-0.016439183,-0.017621482,-0.017389059,-0.023299301,-0.019648924,-0.014987603,-0.015862897,-0.018229101,-0.015979931,-0.016711023,-0.018670011,-0.017276384,-0.022027077,-0.015747078,-0.019668717,-0.022576177,-0.02160375
851.2000122,-0.004938248,-0.006895658,-0.012179311,-0.013160591,-0.013089917,-0.01216874,-0.018245036,-0.014315672,-0.018633261,-0.017103409,-0.01702974,-0.018795168,-0.014903368,-0.019430753,-0.019710079,-0.014774133,-0.016374424,-0.017268274,-0.018307729,-0.016043551,-0.017995562,-0.019386245,-0.019715175,-0.017862823
850.4000244,-0.002681927,-0.005521076,-0.011108565,-0.00829958,-0.012790565,-0.010875003,-0.014660527,-0.016671665,-0.017443372,-0.014529567,-0.017095495,-0.015531384,-0.01861129,-0.012433455,-0.014931382,-0.012705954,-0.017625062,-0.019520698,-0.01349196,-0.015902277,-0.018888168,-0.018958451,-0.018102044,-0.017014755
849.5999756,-0.007540847,-0.005718295,-0.009874319,-0.011939878,-0.010603273,-0.012027207,-0.014584539,-0.014325039,-0.016675601,-0.014573225,-0.014224493,-0.014434077,-0.015926883,-0.014900867,-0.01701366,-0.015529336,-0.015501211,-0.018116543,-0.014466176,-0.016292702,-0.013856777,-0.019118799,-0.016579833,-0.018756595
